Gloss,CDIAL,gil,koh,gur,Astor,dr,bro
armpit,,gitíiti,gitíit,gikíiti,gikíiti,gikhití,
armpit,2588,,,kácɨ̥,,khiṅ,caṅ'khoṅ
beard,6250,dáa~y,dáae,dái~,dá~i~,,
belly,5589,ḍeér,ḍeér,ḍeér,ḍeér,,
blood,11168,léel,léel,léel,léel,,
bone,958,á~ṭi,á~ṭhi,á~ṭi,á~ṭi,,
brain,9926,máto,mótho,mótu,máto,,
brain,,,máɣaz,maɣzíi,,,
breast,4855,cúcu,cíci,,,,
breast,,,,mámu,mam,,
ear,2830,koṇ,koṇ,koṇ,koṇ,,
elbow,2757,bakhúni,,bakhúnɨ (pl.),bakhúni,,
elbow,,,ṭhugúri,,,,
elbow,,,photuúti,photuúti,,,
eye,43,ac̣híi,ac̣híi,ac̣híi,ac̣híi,,
face,10158,mukh,muk,muk,mukh,,
face,,,,roói,,,
finger,135,haguí,hagwí,a~wíi~,aṅwíi~,,
fingernail,6920,nóoro,núuro,nóor,nóor,,
flesh,9982,moós,moós,moós,moós,,
foot,8056,páa,páa~,páa,páa,,
hair,5075,jakúr,jáako,jakúu,jaáko,,
hair,11572,,báal,báal,,,
hand,14024,hat,hat,hat,hat,,
head,12497,ṣiṣ,ṣiṣ,ṣiíṣ,ṣiíṣ,,
heart,14152,híyo,hyúu,"híi, híiu",hyúu,,
kidney,12064,"j̣uk, ẓuk",ẓuúk,j̣úuk,j̣uk,,
knee,3243,kúṭo,kúṭho,kúṭu,kúṭo,,
lip,2563,óo~ṭo,,óo~ṭi,óo~ṭ,,
lip,5853,,thurúuṭi,,,,
liver,10394,yúum,yúu~,yúu~,yúu~,,
moustache,9083,phúṅe (pl.),phúgo,phúu~ṅɨ (pl.),phúṅi (pl.),,
mouth,1533,áa~y,áa~zi,áa~zu,áa~zo,,
neck,13576,ṣak,ṣak,ṣak,ṣak,,
neck,,,,šóoṇu,,,
nose,7031,náto,nóthi,nótu,náto,,
skin,4701,com,com,com,com,,
shoulder,13839,phíco,phíjo,phíjo,,,
shoulder,10221,,muṭh,miṭhíj,miṭhíjo,,
shoulder,13627,,kaṇíi (?),,,,
shoulder,13839,,,,phéelo,,
thumb,137,agúto,hagúu,oṅúu~tu,aṅúu~to,,
tongue,5228,jib,jip,jip,jip,,
tooth,6152,don,don,don,don,,
urine,10337,miíke,mhiíki,"múu~cu̥, myaakul",miíko,,
brother,9661,ẓáa,ẓáa,j̣áa,ẓáa,,
brother's wife,9660,jajeé,jaẓá,,jaj̣eé,,
brother's wife,2998,,,kaáki,,,
child,9216,baál,baál,,baál,,
child,4889,,,cúṇu,,,
daughter,,,,mulái,,,
daughter,6481,dií,dií,dií,diíh,,
daughter-in-law,13801,nuúṣ,nuúṣ,nuúṣ,nuúṣ,,
father,9935,maálo,maálo,maálu,,,
father,9209,baábo,bubáa,,baábo,,
father's brother,8188,picáa,picáar,pic̣íi,,,
father's brother,,,,,cúno maálo,,
father-in-law,12753,šáyur,šéer,šéer,šáwur,,
granddaughter,8417,póoc̣i,póoc̣i,póoc̣i,póoc̣i,,
grandson,8416,póoc̣o,póoc̣o,póoc̣o,póoc̣o,,
man,9828,mušáa,mušáa,"mušáa, mišáa",mušáa,,
mother,1351,aáji,áji,aáji,aáji,,
mother,10016,maá~,maá~,máa~,,,
