Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Disposition	Citation	Staged_Entry_Keys
1	sky	MN	Minyong	17	13	left	t̪aləŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 1, list MN]	padung-sako2015adi:item:001:site:MN:response:1
1	sky	BR	Bori	17	13	left	t̪aləŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 1, list BR]	padung-sako2015adi:item:001:site:BR:response:1
1	sky	RM	Ramo	17	13	left	med̪omo	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 1, list RM]	padung-sako2015adi:item:001:site:RM:response:1
1	sky	ML	Milang	17	13	left	t̪allə	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 1, list ML]	padung-sako2015adi:item:001:site:ML:response:1
1	sky	PL	Pailibo	17	13	left	t̪allə	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 1, list PL]	padung-sako2015adi:item:001:site:PL:response:1
1	sky	AS	Ashing (Bogum Bokang)	17	13	left	t̪aləŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 1, list AS]	padung-sako2015adi:item:001:site:AS:response:1
1	sky	PD	Padam	17	13	left	t̪aləŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 1, list PD]	padung-sako2015adi:item:001:site:PD:response:1
1	sky	SM	Shimong	17	13	left	t̪aləŋ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 1, list SM]	padung-sako2015adi:item:001:site:SM:response:1
1	sky	BK	Bokar	17	13	left	med̪oŋmo	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 1, list BK]	padung-sako2015adi:item:001:site:BK:response:1
2	sun	MN	Minyong	17	13	left	d̪oŋi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 2, list MN]	padung-sako2015adi:item:002:site:MN:response:1
2	sun	BR	Bori	17	13	left	d̪oŋi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 2, list BR]	padung-sako2015adi:item:002:site:BR:response:1
2	sun	RM	Ramo	17	13	left	d̪oŋi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 2, list RM]	padung-sako2015adi:item:002:site:RM:response:1
2	sun	ML	Milang	17	13	left	məɾuŋ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 2, list ML]	padung-sako2015adi:item:002:site:ML:response:1
2	sun	PL	Pailibo	17	13	left	d̪oŋi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 2, list PL]	padung-sako2015adi:item:002:site:PL:response:1
2	sun	AS	Ashing (Bogum Bokang)	17	13	left	d̪oŋi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 2, list AS]	padung-sako2015adi:item:002:site:AS:response:1
2	sun	PD	Padam	17	13	left	d̪oŋi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 2, list PD]	padung-sako2015adi:item:002:site:PD:response:1
2	sun	SM	Shimong	17	13	left	d̪oŋi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 2, list SM]	padung-sako2015adi:item:002:site:SM:response:1
2	sun	BK	Bokar	17	13	left	d̪õɲi	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 2, list BK]	padung-sako2015adi:item:002:site:BK:response:1
3	moon	MN	Minyong	17	13	left	polo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 3, list MN]	padung-sako2015adi:item:003:site:MN:response:1
3	moon	BR	Bori	17	13	left	polo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 3, list BR]	padung-sako2015adi:item:003:site:BR:response:1
3	moon	RM	Ramo	17	13	left	põlo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 3, list RM]	padung-sako2015adi:item:003:site:RM:response:1
3	moon	ML	Milang	17	13	left	polu	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 3, list ML]	padung-sako2015adi:item:003:site:ML:response:1
3	moon	PL	Pailibo	17	13	left	polo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 3, list PL]	padung-sako2015adi:item:003:site:PL:response:1
3	moon	AS	Ashing (Bogum Bokang)	17	13	left	polo	1	attested	high		manual visual inspection of 400-dpi rendered PDF page; text scaffold not accepted without cell visual match	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	target	staged	padung-sako2015adi[Appendix B, printed p. 13, item 3, list AS]	padung-sako2015adi:item:003:site:AS:response:1
