PDF_Page	Printed_Page	Image_Name	Width	Height	Image_SHA256
59	50	Im0.png	1116	619	e247f51ed2db6a9c479f68e8f548c3a26a16441bbaf4ae6b1629e087290fa441
60	51	Im0.png	1065	708	070dc8036fb6820bd3355aba14e89a782aeeeaf1bf40e7d09f7802c13f6df0ad
61	52	Im0.png	1062	713	ff4fb6cc71ea1757647603e09e5ac0e32152c101c4f71f1231684589fcfdea8c
62	53	Im0.png	1044	693	07213bcb29b47eccf6ce20ffea86658ea148dd831e82cef22b306065eecaf01f
63	54	Im0.png	1070	701	b17820e2c0457fb4e2c0456aff4b47c0f6692ef95120ee6cc4e920fc24bf5a68
64	55	Im0.png	1059	691	6a0d99a5d57e2b60647586b12b19eb82d284cd9f883adff70b6f0128a0d46866
65	56	Im0.png	1045	703	76f382ad3b2db08eb670f6c17655a00f6b3a43794a7bd98e2bf89343877420f4
66	57	Im0.png	1076	705	a1085a1fcdd98cda4922aea66d791d8f5626fe71249a65de2bafd2acf43b73c9
67	58	Im0.png	1080	712	2170a07a38896161194e02ff451849f895d5dbf1a38c5c81d47beea427b15a45
68	59	Im0.png	1071	706	4bd301c73620414c5df434857e3f0e59bb762f60d497e10247c3a1be2d797e28
69	60	Im0.png	1075	685	254ff64161e9b36b725e295876e576b0f8cde52d6344d27af4a859e85adb75ad
70	61	Im0.png	1062	691	120c70023f282523624cde28234bc6f3a2834b8a0c95cb12f0134485612d8358
71	62	Im0.png	1083	710	3d16c97c8bf8139e4afe356eab375294eadbd6853fd6d5a0bc7e4f99a29d7a0b
72	63	Im0.png	1034	700	5a77c5da8be5a6c445634996c15e7f9bdac78c8722411c735dd277e6d55a5931
73	64	Im0.png	1060	702	83d1e0af30264bfbd8aa0a46d378c1722b122db037b7d42bc986e8d513d5c225
74	65	Im0.png	1096	700	f22def7754338dbe3ab6630fa5f9c5a4620640fec3d282c810edcd476920f66f
75	66	Im0.png	1084	699	0cf761a54d2321daa94dcbff0bb0d00ef6628b57afe97ec110c7c3d21cba9b6c
76	67	Im0.png	1071	692	343c1cb69d534cce844e7f2b28223ea15fe1311e0af71baa6047682674c50c62
77	68	Im0.png	1036	709	819f0fd15b364e7b6316db1b112e8e5989ddf216d79c961cc911124992583c23
78	69	Im0.png	1081	696	39a268793742db9602f24d225fd5c5c27d4f3883711f2896aa7ca5a6ef5bcd50
79	70	Im0.png	1030	694	d40773ac4845ef474360d51890ac9c9ac319190d149f0c86c7fb0ac1bbfc5b64
80	71	Im0.png	1086	703	ae261c67f14e90b17e596c270abf203d6b79c2de4277fe9bebc5ba999db82a9a
81	72	Im0.png	1055	693	127ea1cf0c9fe7d4383d6e6b67e9bea0c3401a5b9a7217439c36254f5dfef1c0
