Item	Gloss	Site_Code	Language_Label	Site_Name	Target	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
115	boy	BAI	Bhumij	Baigodia	yes	56	51	right	hon koɖɑ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	CHA	Bhumij	Champi	yes	56	51	right	koɖɑ hone	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	DIG	Bhumij	Dighinuasahi	yes	56	51	right	huɖiɲhõn	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	DUM	Bhumij	Dumadie	yes	56	51	right	kodɑ hone	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	LAD	Bhumij	Ladhiramsai	yes	56	51	right	koɾɑ hɔn	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	MAD	Bhumij	Madhupur	yes	56	51	right	kodɑ hon	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	MOH	Bhumij	Mohuldiha	yes	56	51	right	huɖiɲkoɖɑ	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	MUN	Bhumij	Munduy	yes	56	51	right	koɖɑhõn	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	POD	Bhumij	Podadiha	yes	56	51	right	kuɖɑ hon	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	UDA	Bhumij/Mundari	Udala	yes	56	51	right	kodɑ hon	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	MCH	Mundari	Chalagi	no	56	51	right	dɦɑŋgeɾɑ	2	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
115	boy	MDI	Mundari	Dictionary	no	56	51	right	hon	1	attested	high		manual visual inspection of 400-dpi rendered PDF pages with retroflexes, nasalization, aspiration, vowel length, continuations, and page/column breaks rechecked at 800 dpi; text scaffold neither supplied nor verified any reading	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
