Physical_PDF_Page	Printed_Page	Relative_Path	Bytes	Width	Height	DPI	SHA256	Evidence_Class
34	29	page-034.png	266852	1224	1584	144	c17f1b18b91244136183e84ed07a5b7a2d60f972ea6f1c904a78a1d0ba33d870	fresh-topology-audit-only; lexical readings remain frozen manual evidence
35	30	page-035.png	274949	1224	1584	144	2ccefa52dd10fe19fc2faefdb55f8ecb6846cc33bb5d010d1d0a216a6980294f	fresh-topology-audit-only; lexical readings remain frozen manual evidence
36	31	page-036.png	272654	1224	1584	144	83b1459fa7bf7e719ab8f54a4adc0c8dba98bdb92b2683c75a966c6a630bf48a	fresh-topology-audit-only; lexical readings remain frozen manual evidence
37	32	page-037.png	302000	1224	1584	144	4558063725c2f629af0943f9274dff21ea4d45d57fcbb04056cb559c85949936	fresh-topology-audit-only; lexical readings remain frozen manual evidence
38	33	page-038.png	303931	1224	1584	144	ba9949e2a1bd2b5512c8c58fca196b6c0e0857da83c03679f1849022467622ae	fresh-topology-audit-only; lexical readings remain frozen manual evidence
39	34	page-039.png	300111	1224	1584	144	8dcc6956808764d082ed71dc25cb15fcb58e7935d7cae590c09cef206abb2ec0	fresh-topology-audit-only; lexical readings remain frozen manual evidence
40	35	page-040.png	305101	1224	1584	144	135cfee7f10fffe2a53f759cfda45bbdddf16660e3e554233e156feea54a7eb2	fresh-topology-audit-only; lexical readings remain frozen manual evidence
41	36	page-041.png	279291	1224	1584	144	5be1fdef3a5488ae6d45b5cdfbeb52ca3c7f650977b324bf154027e27249dd26	fresh-topology-audit-only; lexical readings remain frozen manual evidence
42	37	page-042.png	283414	1224	1584	144	3743ba0730c6eb35dbae26ad6d1c6674947003fe7a1a21aa39b2fb438710de01	fresh-topology-audit-only; lexical readings remain frozen manual evidence
43	38	page-043.png	295836	1224	1584	144	ed177c8dd01a956f43acf994db7869e3ccff59c2c0feeea72da81110d49f427c	fresh-topology-audit-only; lexical readings remain frozen manual evidence
44	39	page-044.png	295781	1224	1584	144	6c95a4eb7ed56f435f2106cd81b8aaf5ce9da516799ae03958ee72539db68fcf	fresh-topology-audit-only; lexical readings remain frozen manual evidence
45	40	page-045.png	301141	1224	1584	144	384b15fa9068dc172477f69a262d56113793fd139c01c631a8ab2c3377678e65	fresh-topology-audit-only; lexical readings remain frozen manual evidence
46	41	page-046.png	280002	1224	1584	144	26e8c3abe76e1302785df23fc0ca352c85794b1c6a0e9b014ee376aa34bb85d2	fresh-topology-audit-only; lexical readings remain frozen manual evidence
47	42	page-047.png	305890	1224	1584	144	20c59f72cbfab05298b104cb6baa7e1736288a0c59747dafd3d2bb3b979381a6	fresh-topology-audit-only; lexical readings remain frozen manual evidence
48	43	page-048.png	319199	1224	1584	144	9c61ae6fd364616e4057f917f2f8eaf9d3be1a4a4f1cc51364deb16da84b6577	fresh-topology-audit-only; lexical readings remain frozen manual evidence
49	44	page-049.png	321874	1224	1584	144	5c20f0d522651d3323b5b63d087c465ab8e5d1a4b486ca4a3adc0c3d2e849f53	fresh-topology-audit-only; lexical readings remain frozen manual evidence
50	45	page-050.png	276816	1224	1584	144	1dad79700ae942623b38b09125ae639bd9c5efd745807efc35fd6c16a01bedef	fresh-topology-audit-only; lexical readings remain frozen manual evidence
51	46	page-051.png	284519	1224	1584	144	0b591a045c245eea37879530cb09b6fa02578d879a96db17131c64888d3d3d78	fresh-topology-audit-only; lexical readings remain frozen manual evidence
52	47	page-052.png	295650	1224	1584	144	bb94b85e815208be632dd60d1e8ef5577201d4a10300e1056470452117f080f5	fresh-topology-audit-only; lexical readings remain frozen manual evidence
53	48	page-053.png	291136	1224	1584	144	ba0be2a326777265a0180d45815a6f2c3f858f8e1a1b2af34a422b6fefa1c59c	fresh-topology-audit-only; lexical readings remain frozen manual evidence
54	49	page-054.png	278824	1224	1584	144	7cd58ab4a1d9870c0a872c5b7ae2450026914720a3ece1aaf320ca3f6d299a3b	fresh-topology-audit-only; lexical readings remain frozen manual evidence
55	50	page-055.png	310105	1224	1584	144	9af9d26f91566ece98da7c5904f0fd3f4d9bff153bd504f40acbb722fdb4ddc2	fresh-topology-audit-only; lexical readings remain frozen manual evidence
56	51	page-056.png	308049	1224	1584	144	56d8f143b73daed29e3812da9f7ed9b7ca252bfcfa8be75de8af02938cf834b4	fresh-topology-audit-only; lexical readings remain frozen manual evidence
57	52	page-057.png	301344	1224	1584	144	e5a479a5c054ed7b5a82a394694c9ff8d531da8355a2b5d01b16b2214c2dd00b	fresh-topology-audit-only; lexical readings remain frozen manual evidence
58	53	page-058.png	265738	1224	1584	144	1e3d9c7ca7cca25ce654bf614fd36d16446119f788eb55564db8b845e06d81fc	fresh-topology-audit-only; lexical readings remain frozen manual evidence
59	54	page-059.png	288499	1224	1584	144	834832b2a05f2aab258c083bccb68ad3e3d7d1d8049e886b310493dc6fea23ed	fresh-topology-audit-only; lexical readings remain frozen manual evidence
60	55	page-060.png	291497	1224	1584	144	5aca559f3e59590079a3c337de0bb540a1ae47686eec0f2d6bcafda21459dab5	fresh-topology-audit-only; lexical readings remain frozen manual evidence
61	56	page-061.png	311004	1224	1584	144	32b9b38ef6d8e77989c335d15585a75d5093f435a16e7bbef33921036d7fe79e	fresh-topology-audit-only; lexical readings remain frozen manual evidence
62	57	page-062.png	303800	1224	1584	144	91cb4d192dcfcff1130fa679bf005547f3b135c021de766de1d75b336eac4113	fresh-topology-audit-only; lexical readings remain frozen manual evidence
63	58	page-063.png	289489	1224	1584	144	e3ce5f0a8318e3b131d931675a254cb9693d68bca0056191cf8328dd770c6b45	fresh-topology-audit-only; lexical readings remain frozen manual evidence
64	59	page-064.png	288730	1224	1584	144	3df597cc1e1c12159e440e5405474a8d5eb706c41c75d0f5de11e3660b56ea56	fresh-topology-audit-only; lexical readings remain frozen manual evidence
65	60	page-065.png	279339	1224	1584	144	6799ae69bb7dd21bdd304dc83a3f9702caa6d15c1a675c3f2b25587a61232f83	fresh-topology-audit-only; lexical readings remain frozen manual evidence
66	61	page-066.png	300452	1224	1584	144	c02236ee2721d32ba68b26f8ec977c4cc59c175a7fa1afe4778c88bb9b3f7c13	fresh-topology-audit-only; lexical readings remain frozen manual evidence
67	62	page-067.png	299036	1224	1584	144	781c55b3ab74c63fc0dc4fb19d6214f988b644eafddd8d0bcd6da3e5551b0c07	fresh-topology-audit-only; lexical readings remain frozen manual evidence
68	63	page-068.png	286179	1224	1584	144	83be7977538b53b59675709ee121895aed5597b8e74d2b94e8639cca9b9e364e	fresh-topology-audit-only; lexical readings remain frozen manual evidence
69	64	page-069.png	296343	1224	1584	144	92e405b1fd97e9b490450260520bba3ab5b0ec18db15df6aae3de9036b76b921	fresh-topology-audit-only; lexical readings remain frozen manual evidence
70	65	page-070.png	359859	1224	1584	144	d2ae61b2725dc8c4d58add636bdb9167d24af150164d72aee21700f4684110c1	fresh-topology-audit-only; lexical readings remain frozen manual evidence
71	66	page-071.png	349969	1224	1584	144	b16a838cccee58a58e95e0ea2112d642d418bf0cc229a47f3ae49a1c7c807b62	fresh-topology-audit-only; lexical readings remain frozen manual evidence
72	67	page-072.png	347232	1224	1584	144	d4366ccc4b45442b30b69d3cb7e2e74e7daad24bf26d3398ff60f8ef95719412	fresh-topology-audit-only; lexical readings remain frozen manual evidence
73	68	page-073.png	349393	1224	1584	144	8fec5f38c621c99488967a02f98a055bdd463ece0fbd3bd52f8abc8cd13faf5b	fresh-topology-audit-only; lexical readings remain frozen manual evidence
74	69	page-074.png	318391	1224	1584	144	653e693e8664ace103b51e035bf4cb201622ae3214dbed50fe01d30fee25681c	fresh-topology-audit-only; lexical readings remain frozen manual evidence
75	70	page-075.png	282185	1224	1584	144	92f358d0fc8850afb830a5c730d823ee64cd8b8b420897b493a6912f766cd4e9	fresh-topology-audit-only; lexical readings remain frozen manual evidence
76	71	page-076.png	100902	1224	1584	144	ef40cf2e52e9fbed55eb0df023d4d2d15b51c3b17e8430826d1580f1b86d4cca	fresh-topology-audit-only; lexical readings remain frozen manual evidence
