Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Similarity_Groups	Source_Qualification	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration
6	ear	POD	Podeiguda U. Bonda	16	11	1	lʊn̩t̪ʊr	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	BON	Bondapada U. Bonda	16	11	2	lʊn̩t̪ʊr	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	DUM	Dumripada U. Bonda	16	11	3	lʊn̩t̪ʊr	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	KAD	Kadamguda L. Bonda	16	11	4	lunt̪ur	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	KEN	Kendhuguda L. Bonda	16	11	5	lunt̪ur	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	RAS	Rasabeda L. Bonda	16	11	6	lunt̪ur	5		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	GUT	Tikrapada Gadaba	16	11	7	l̩t̪iɾ	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	BIA	Biapada U. Didayi	16	11	8	n̩lʊg̚	2	source prints combining left angle above on final g (unreleased)	attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	PAR	Kinumun Parenga Parja	16	11	9	lũ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	RON	Malenga Rona Desiya	16	11	10	kan	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
6	ear	ODI	Cuttack Oriya	16	11	11	kaɳo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	POD	Podeiguda U. Bonda	16	11	1	nsemi	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	BON	Bondapada U. Bonda	16	11	2	nsemi	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	DUM	Dumripada U. Bonda	16	11	3	nsemi	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	KAD	Kadamguda L. Bonda	16	11	4	n̩tʃemi	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	KEN	Kendhuguda L. Bonda	16	11	5	n̩tʃeʔmui	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	RAS	Rasabeda L. Bonda	16	11	6	n̩tʃemi	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	GUT	Tikrapada Gadaba	16	11	7	mi	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	BIA	Biapada U. Didayi	16	11	8	mu	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	PAR	Kinumun Parenga Parja	16	11	9	mũ	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	RON	Malenga Rona Desiya	16	11	10	nak	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
7	nose	ODI	Cuttack Oriya	16	11	11	nakho	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	POD	Podeiguda U. Bonda	16	11	1	t̪ʊmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	BON	Bondapada U. Bonda	16	11	2	t̪ʊmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	DUM	Dumripada U. Bonda	16	11	3	t̪ʊmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	KAD	Kadamguda L. Bonda	16	11	4	t̪ʊmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	KEN	Kendhuguda L. Bonda	16	11	5	t̪umo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	RAS	Rasabeda L. Bonda	16	11	6	t̪ʊmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	GUT	Tikrapada Gadaba	16	11	7	t̪ʊmo	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	BIA	Biapada U. Didayi	16	11	8	t̪ʊmua	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	PAR	Kinumun Parenga Parja	16	11	9	t̪oɾ	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	RON	Malenga Rona Desiya	16	11	10	ʈɔɳɖ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
8	mouth	ODI	Cuttack Oriya	16	11	11	paʈ:i	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	POD	Podeiguda U. Bonda	16	11	1	gine	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	BON	Bondapada U. Bonda	16	11	2	gine	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	DUM	Dumripada U. Bonda	16	11	3	gine	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	KAD	Kadamguda L. Bonda	16	11	4	gine	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	KEN	Kendhuguda L. Bonda	16	11	5	gine	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	RAS	Rasabeda L. Bonda	16	11	6	gine	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	GUT	Tikrapada Gadaba	16	11	7	ginɛ	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	BIA	Biapada U. Didayi	16	11	8	gini	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	PAR	Kinumun Parenga Parja	16	11	9	dʒi	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	RON	Malenga Rona Desiya	16	11	10	d̪ẽt̪	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
9	tooth	ODI	Cuttack Oriya	16	11	11	d̪ant̪o	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	POD	Podeiguda U. Bonda	16	11	1	lejʌŋ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	BON	Bondapada U. Bonda	16	11	2	leʔjʌŋ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	DUM	Dumripada U. Bonda	16	11	3	leʔjʌŋ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	KAD	Kadamguda L. Bonda	16	11	4	lejʌŋ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	KEN	Kendhuguda L. Bonda	16	11	5	lejʌŋ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	RAS	Rasabeda L. Bonda	16	11	6	lejʌŋ	4		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	GUT	Tikrapada Gadaba	16	11	7	lɐø	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	BIA	Biapada U. Didayi	16	11	8	n̩lia	3		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	PAR	Kinumun Parenga Parja	16	11	9	lɐŋ	1		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	RON	Malenga Rona Desiya	16	11	10	dʒɪb	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
10	tongue	ODI	Cuttack Oriya	16	11	11	dʒibhə	2		attested	high		manual visual inspection at 600 dpi; every cell rechecked in targeted 1200-dpi crops	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied
