PDF_Page	Printed_Page	Line	Item	Gloss	Site	Scaffold_Form	Manual_Form	Correction_Class	Visual_Review
81	72	L08@160.95	5	eye	Gumalput	ɐk̃ ɪ	ɐ̃kɪ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	L09@172.95	5	eye	Kakalpoda	ɐk̃ ɪ	ɐ̃kɪ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	L10@184.96	5	eye	Kantigad	ɐk̃ ɪ	ɐ̃kɪ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R17@256.99	8	mouth	Gemelput	tɔ̪ ɳɖ	t̪ɔɳɖ	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R23@337.08	9	tooth	Potenda	d̪aːn̪t ̪	d̪aːn̪t̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R24@349.09	9	tooth	Ghumar	d̪at ̪	d̪at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R25@361.09	9	tooth	Gumalput	d̪at ̪	d̪at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R26@373.10	9	tooth	Kakalpoda	d̪at ̪	d̪at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R27@385.10	9	tooth	Konda Maliguda	d̪at ̪	d̪at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R28@397.10	9	tooth	Patta Maliguda	d̪at ̪	d̪at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R29@409.11	9	tooth	Sabhapatiguda	d̪at ̪	d̪at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R30@421.11	9	tooth	Sindhiguda	d̪at ̪	d̪at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
81	72	R31@433.12	9	tooth	Souraguda	d̪at ̪	d̪at̪	zero-width combining-mark attachment/order in positional text extraction	confirmed against rendered source glyphs; PDF content-stream order used as second representation
