PDF_Page	Printed_Page	Page_Line	Item	Gloss	List	Source_Cell	Record_Type	Verified_Cell	Review_Status	Confidence	Review_Note	Extraction_Note
42	34	29	1	body	Urdu	2  dʒɪsm	response	2  dʒɪsm	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	30	1	body	Chitral/Pak	1  dʒɪn	response	1  dʒɪn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	31	1	body	Settlet Swat/Pak	4  bʌdʌn / 5 wʌdʒud	response	4  bʌdʌn / 5 wʌdʒud	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	32	1	body	Gilgit/Pak	1  dʒɪn	response	1  dʒɪn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	33	1	body	Kaghan/Pak	2  dʒɪsʌm / 3  dʒuso	response	2  dʒɪsʌm / 3  dʒuso	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	34	1	body	North. Azad/Pak	3  dʒusõ	response	3  dʒusõ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	35	1	body	Centr. Azad/Pak	4  bʌdʌn	response	4  bʌdʌn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	36	1	body	Udhampur/J&K	1  dʒhɑn	response	1  dʒhɑn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	37	1	body	Jammu/J&K	1  dʒɪnd	response	1  dʒɪnd	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	38	1	body	Chamba/H.P.	1  dʒɑn	response	1  dʒɑn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	39	1	body	Rampur/H.P.	1  dʒɑn	response	1  dʒɑn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	40	1	body	Nalagarh/H.P.	1  dʒɑn	response	1  dʒɑn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	41	1	body	Dehradun/U.P.	2  dʒɪsʌm	response	2  dʒɪsʌm	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	42	1	body	Kotdwara/U.P.	4  bʌdʌn	response	4  bʌdʌn	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	43	1	body	Haldwani/U.P.	1  dʒɑn /  2  dʒɪsʌm	response	1  dʒɑn /  2  dʒɪsʌm	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	47	2	head	Urdu	1  sʌɾ	response	1  sʌɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	48	2	head	Chitral/Pak	1  sʌɾ	response	1  sʌɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	49	2	head	Settlet Swat/Pak	1  seɾ	response	1  seɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	50	2	head	Gilgit/Pak	1  sɛɾ	response	1  sɛɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	51	2	head	Kaghan/Pak	1  seɾ	response	1  seɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	52	2	head	North. Azad/Pak	1  sɛɾ	response	1  sɛɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	53	2	head	Centr. Azad/Pak	1  sɪɾ	response	1  sɪɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	54	2	head	Udhampur/J&K	1  sɛɾ	response	1  sɛɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	55	2	head	Jammu/J&K	1  sɪɾ	response	1  sɪɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	56	2	head	Chamba/H.P.	1  sɪɾ	response	1  sɪɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
42	34	57	2	head	Rampur/H.P.	1  sɪɾ	response	1  sɪɾ	complete	high	PDF p. 42 visually reviewed at 180 dpi; verified cell matches the rendered source, including all alternatives and diacritics.	
