Item	Site_Code	Similarity_Group	Source_Line_ID	Manual_Transcription	Manual_Line_Status	Cell_Review_Status	Legacy_Raw_Form	Legacy_Status	Legacy_Reason	Exact_Codepoint_Equal	Reconciliation_Disposition	Frozen_Manual_Lines_SHA256	Frozen_Manual_Cells_SHA256	Independence_Note
36	p	0	i036-l01		source_blank	source_blank	no entry	excluded	printed gap: the item was not elicited at this site	no	manual source blank; legacy audit also records a printed gap	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
36	0	1	i036-l02	gɔm	attested	attested	ɡɔm	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
36	a	1	i036-l02	gɔm	attested	attested	ɡɔm	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
36	b	1	i036-l02	gɔm	attested	attested	ɡɔm	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
36	c	1	i036-l02	gɔm	attested	attested	ɡɔm	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
36	d	1	i036-l02	gɔm	attested	attested	ɡɔm	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
36	e	1	i036-l02	gɔm	attested	attested	ɡɔm	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
36	f	1	i036-l02	gɔm	attested	attested	ɡɔm	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
36	g	1	i036-l02	gɔm	attested	attested	ɡɔm	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
36	h	1	i036-l02	gɔm	attested	attested	ɡɔm	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
36	i	1	i036-l02	gɔm	attested	attested	ɡɔm	installed		no	legacy differs at codepoint level (audit-only; manual unchanged)	47bd07ff2f18e4b5d5980179bf7d5327897ff97e12a6f6e669a7a3a3ec499945	b08479f603dda4896b116da64365cc39a1cd0ddf8794a072b34e7f5db4252b02	legacy comparison performed only after ledger freeze; legacy data did not supply, alter, or verify the manual reading
