level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1489	2105	-1	
2	1	1	0	0	0	191	102	1116	1769	-1	
3	1	1	1	0	0	191	102	1116	1769	-1	
4	1	1	1	1	0	1268	102	39	18	-1	
5	1	1	1	1	1	1268	102	39	18	96.308868	105
4	1	1	1	2	0	196	199	137	25	-1	
5	1	1	1	2	1	196	199	54	20	95.792122	127.
5	1	1	1	2	2	273	205	60	19	96.356079	year
4	1	1	1	3	0	193	258	770	29	-1	
5	1	1	1	3	1	193	263	42	20	85.966660	HO1
5	1	1	1	3	2	261	263	7	20	92.580376	1
5	1	1	1	3	3	290	265	90	19	71.471992	sirma,
5	1	1	1	3	4	402	262	13	20	93.100632	3
5	1	1	1	3	5	434	261	91	22	88.571831	kalom,
5	1	1	1	3	6	548	261	10	19	92.632835	4
5	1	1	1	3	7	580	260	92	27	89.045555	botfor
5	1	1	1	3	8	789	258	47	22	96.064133	HOP
5	1	1	1	3	9	857	258	7	21	90.879211	1
5	1	1	1	3	10	886	261	77	18	69.074898	sicma
4	1	1	1	4	0	193	291	771	23	-1	
5	1	1	1	4	1	193	295	46	19	92.058067	HTH
5	1	1	1	4	2	261	295	5	18	85.594704	1
5	1	1	1	4	3	290	296	92	17	76.887627	sicuma
5	1	1	1	4	4	790	291	45	20	95.367775	HBA
5	1	1	1	4	5	857	291	6	19	90.065041	1
5	1	1	1	4	6	885	292	79	18	92.052979	sicum
4	1	1	1	5	0	194	322	784	24	-1	
5	1	1	1	5	1	194	326	45	20	89.238503	HKA
5	1	1	1	5	2	262	326	5	19	87.933205	1
5	1	1	1	5	3	290	328	92	17	86.668869	sicuma
5	1	1	1	5	4	790	322	42	21	75.080467	HNI
5	1	1	1	5	5	857	322	7	21	88.928726	1
5	1	1	1	5	6	886	326	92	16	11.898890	stucema
4	1	1	1	6	0	194	358	173	20	-1	
5	1	1	1	6	1	194	358	45	20	89.830971	HKE
5	1	1	1	6	2	262	359	6	19	90.741020	1
5	1	1	1	6	3	290	360	77	17	63.551071	siema
4	1	1	1	7	0	194	387	770	24	-1	
5	1	1	1	7	1	194	391	46	20	95.405418	HCH
5	1	1	1	7	2	263	391	4	20	56.483810	1
5	1	1	1	7	3	290	393	77	17	30.557438	siema
5	1	1	1	7	4	790	387	46	21	95.731873	BBG
5	1	1	1	7	5	857	387	8	21	93.029991	1
5	1	1	1	7	6	886	389	78	19	84.655380	sirma
4	1	1	1	8	0	194	420	784	24	-1	
5	1	1	1	8	1	194	423	47	21	90.296570	HCU
5	1	1	1	8	2	262	424	6	20	92.816650	1
5	1	1	1	8	3	290	425	78	18	59.239140	sicme
5	1	1	1	8	4	790	420	46	21	94.264587	BMA
5	1	1	1	8	5	858	420	7	21	62.130703	1
5	1	1	1	8	6	886	421	92	20	84.816925	sicuma
4	1	1	1	9	0	195	453	769	24	-1	
5	1	1	1	9	1	195	456	46	21	87.840958	HSU
5	1	1	1	9	2	263	457	5	19	66.872543	t
5	1	1	1	9	3	290	458	94	19	33.527061	sicuma
5	1	1	1	9	4	791	453	46	21	89.702721	BOP
5	1	1	1	9	5	858	453	7	21	92.917534	1
5	1	1	1	9	6	886	454	78	20	64.090317	sirma
4	1	1	1	10	0	195	486	769	24	-1	
5	1	1	1	10	1	195	489	45	21	95.439529	HSA
5	1	1	1	10	2	262	490	7	20	88.834000	1
5	1	1	1	10	3	290	492	93	18	57.512062	stcuma
5	1	1	1	10	4	791	486	45	21	94.338623	BRA
5	1	1	1	10	5	858	486	7	20	91.594452	1
5	1	1	1	10	6	886	488	78	18	73.718391	sicma
4	1	1	1	11	0	195	519	770	23	-1	
5	1	1	1	11	1	195	522	46	20	91.074326	HJO
5	1	1	1	11	2	263	522	5	20	89.587692	1
5	1	1	1	11	3	291	524	77	17	78.952240	siema
5	1	1	1	11	4	791	519	45	21	89.177513	BGH
5	1	1	1	11	5	858	519	7	21	92.695763	1
5	1	1	1	11	6	887	521	78	19	42.473164	sircma
4	1	1	1	12	0	195	552	737	22	-1	
5	1	1	1	12	1	195	553	45	21	91.024040	HDH
5	1	1	1	12	2	263	554	6	19	46.256493	1
5	1	1	1	12	3	291	556	77	17	82.916031	sirma
5	1	1	1	12	4	791	552	41	19	55.054455	NOL
5	1	1	1	12	5	856	561	76	5	3.746929	saan
4	1	1	1	13	0	195	581	915	24	-1	
5	1	1	1	13	1	195	585	46	20	95.311340	HBG
5	1	1	1	13	2	263	585	6	19	53.712341	1
5	1	1	1	13	3	291	587	77	17	83.414917	sicma
5	1	1	1	13	4	791	582	45	21	90.919182	MU2
5	1	1	1	13	5	859	582	6	21	91.592468	1
5	1	1	1	13	6	887	584	90	20	74.272125	sirma,
5	1	1	1	13	7	1000	582	14	20	90.958817	3
5	1	1	1	13	8	1032	581	78	21	90.958817	kalom
4	1	1	1	14	0	195	613	946	27	-1	
5	1	1	1	14	1	195	617	45	20	73.488930	HO2
5	1	1	1	14	2	263	617	6	20	76.319855	1
5	1	1	1	14	3	291	619	77	18	84.682297	stema
5	1	1	1	14	4	790	615	42	20	29.982677	SA1
5	1	1	1	14	5	859	615	6	20	92.016205	1
5	1	1	1	14	6	887	620	90	17	91.866096	serma,
5	1	1	1	14	7	1000	613	12	21	92.512856	4
5	1	1	1	14	8	1032	613	109	27	71.123741	botfror
4	1	1	1	15	0	195	647	770	23	-1	
5	1	1	1	15	1	195	650	45	20	92.332466	HRA
5	1	1	1	15	2	264	650	5	19	40.905056	|
5	1	1	1	15	3	291	652	78	18	9.276600	sirme
5	1	1	1	15	4	791	647	45	22	96.110001	SBA
5	1	1	1	15	5	859	647	6	21	87.330612	1
5	1	1	1	15	6	887	653	78	15	90.215981	serma
4	1	1	1	16	0	195	680	770	23	-1	
5	1	1	1	16	1	195	683	45	20	78.467400	H03
5	1	1	1	16	2	261	694	75	4	85.102875	-----
5	1	1	1	16	3	790	681	48	21	95.465004	OCU
5	1	1	1	16	4	855	681	13	21	93.211517	2
5	1	1	1	16	5	887	680	78	22	70.134064	bersa
4	1	1	1	17	0	198	780	264	27	-1	
5	1	1	1	17	1	198	781	54	20	95.265900	128.
5	1	1	1	17	2	275	780	45	21	95.431396	old
5	1	1	1	17	3	343	780	119	27	96.556343	(object)
4	1	1	1	18	0	194	843	771	29	-1	
5	1	1	1	18	1	194	845	42	21	75.267876	HO1
5	1	1	1	18	2	263	845	6	20	84.296181	1
5	1	1	1	18	3	291	847	90	25	90.745216	papari
5	1	1	1	18	4	791	843	47	20	96.125717	HOP
5	1	1	1	18	5	856	843	13	20	91.887573	2
5	1	1	1	18	6	888	849	77	21	85.228981	purna
4	1	1	1	19	0	194	875	771	30	-1	
5	1	1	1	19	1	194	878	46	21	90.933739	HTH
5	1	1	1	19	2	263	878	6	21	86.827736	1
5	1	1	1	19	3	291	880	90	25	86.827736	papaci
5	1	1	1	19	4	791	875	45	22	94.257805	HBA
5	1	1	1	19	5	855	875	13	21	89.837555	2
5	1	1	1	19	6	888	882	77	21	76.412018	purna
4	1	1	1	20	0	195	908	786	29	-1	
5	1	1	1	20	1	195	910	45	21	92.299217	HKA
5	1	1	1	20	2	263	910	6	20	86.404915	1
5	1	1	1	20	3	291	912	90	25	40.565010	papari
5	1	1	1	20	4	791	908	43	21	92.202888	HNI
5	1	1	1	20	5	856	909	13	20	93.143410	2
5	1	1	1	20	6	888	914	93	22	88.215637	purana
4	1	1	1	21	0	195	943	186	26	-1	
5	1	1	1	21	1	195	943	45	20	91.744881	HKE
5	1	1	1	21	2	263	943	5	20	75.880898	1
5	1	1	1	21	3	291	945	90	24	85.200020	papari
4	1	1	1	22	0	195	973	786	28	-1	
5	1	1	1	22	1	195	975	46	20	95.287384	HCH
5	1	1	1	22	2	263	974	6	21	38.741913	1
5	1	1	1	22	3	291	977	90	24	82.699776	papaci
5	1	1	1	22	4	791	973	47	21	96.310982	BBG
5	1	1	1	22	5	855	973	14	21	92.515144	2
5	1	1	1	22	6	888	979	93	21	47.156349	purn-a
4	1	1	1	23	0	195	1005	770	29	-1	
5	1	1	1	23	1	195	1007	47	20	92.027008	HCU
5	1	1	1	23	2	264	1007	5	20	51.963608	ft
5	1	1	1	23	3	291	1008	90	26	89.325333	papari
5	1	1	1	23	4	649	1028	1	4	16.049471	:
5	1	1	1	23	5	791	1005	45	21	94.243889	BMA
5	1	1	1	23	6	855	1006	14	20	93.180321	2
5	1	1	1	23	7	887	1011	78	22	55.695190	purne
4	1	1	1	24	0	195	1038	770	28	-1	
5	1	1	1	24	1	195	1039	47	20	96.136086	HSU
5	1	1	1	24	2	263	1039	7	20	72.395401	1
5	1	1	1	24	3	292	1042	89	24	64.657845	papari
5	1	1	1	24	4	791	1038	47	21	95.539825	BOP
5	1	1	1	24	5	855	1038	14	21	93.231758	2
5	1	1	1	24	6	888	1044	77	21	86.374321	purna
4	1	1	1	25	0	195	1071	770	28	-1	
5	1	1	1	25	1	195	1072	45	20	95.472710	HSA
5	1	1	1	25	2	263	1072	6	20	56.042862	1
5	1	1	1	25	3	291	1074	90	25	81.174469	papaci
5	1	1	1	25	4	791	1071	46	20	96.907707	BRA
5	1	1	1	25	5	855	1071	14	20	92.165276	2
5	1	1	1	25	6	888	1076	77	22	85.020836	purna
4	1	1	1	26	0	195	1103	770	28	-1	
5	1	1	1	26	1	195	1104	46	21	87.865303	HJO
5	1	1	1	26	2	264	1105	5	19	49.948524	f
5	1	1	1	26	3	291	1106	90	25	59.015465	papari
5	1	1	1	26	4	791	1103	46	21	92.145081	BGH
5	1	1	1	26	5	856	1103	13	21	93.242752	2
5	1	1	1	26	6	888	1109	77	21	91.110893	purna
4	1	1	1	27	0	195	1136	738	28	-1	
5	1	1	1	27	1	195	1136	46	21	89.470055	HDH
5	1	1	1	27	2	263	1137	6	20	77.219070	1
5	1	1	1	27	3	291	1139	90	25	92.159157	papari
5	1	1	1	27	4	791	1136	42	21	70.995117	MUI
5	1	1	1	27	5	856	1147	77	4	83.953125	-----
4	1	1	1	28	0	195	1168	786	28	-1	
5	1	1	1	28	1	195	1169	46	21	86.142937	HBG
5	1	1	1	28	2	263	1169	6	20	44.086857	f
5	1	1	1	28	3	291	1171	90	25	74.698029	papaci
5	1	1	1	28	4	791	1168	46	21	91.007668	MU2
5	1	1	1	28	5	855	1169	14	20	93.072411	2
5	1	1	1	28	6	888	1175	93	20	74.846809	purana
4	1	1	1	29	0	194	1201	755	27	-1	
5	1	1	1	29	1	194	1202	46	20	69.560303	HO2
5	1	1	1	29	2	262	1202	6	20	91.713821	1
5	1	1	1	29	3	291	1204	73	24	59.343166	papri
5	1	1	1	29	4	790	1201	43	21	81.241928	SAL
5	1	1	1	29	5	855	1201	14	21	95.231354	3
5	1	1	1	29	6	887	1208	62	14	95.837486	mare
4	1	1	1	30	0	195	1233	754	21	-1	
5	1	1	1	30	1	195	1233	45	21	95.218346	HRA
5	1	1	1	30	2	259	1234	13	20	95.218346	3
5	1	1	1	30	3	291	1240	61	13	96.110344	mare
5	1	1	1	30	4	791	1233	45	21	96.671417	SBA
5	1	1	1	30	5	855	1234	14	19	96.671417	3
5	1	1	1	30	6	888	1240	61	14	94.177933	mare
4	1	1	1	31	0	195	1265	785	28	-1	
5	1	1	1	31	1	195	1265	45	21	45.399212	HO3
5	1	1	1	31	2	260	1277	76	4	84.167648	-----
5	1	1	1	31	3	790	1266	48	20	95.879822	OCU
5	1	1	1	31	4	855	1266	13	21	93.185539	2
5	1	1	1	31	5	887	1272	93	21	44.287586	poruna
4	1	1	1	32	0	198	1363	263	27	-1	
5	1	1	1	32	1	198	1363	54	20	95.806099	129.
5	1	1	1	32	2	275	1370	47	12	96.686829	new
5	1	1	1	32	3	342	1363	119	27	96.423187	(object)
4	1	1	1	33	0	194	1426	754	24	-1	
5	1	1	1	33	1	194	1426	41	20	74.148735	HOt
5	1	1	1	33	2	262	1426	6	20	9.779978	t
5	1	1	1	33	3	291	1433	60	13	96.093697	nama
5	1	1	1	33	4	790	1428	47	21	94.844086	HOP
5	1	1	1	33	5	858	1429	7	20	46.986656	|
5	1	1	1	33	6	887	1435	61	15	94.861557	nama
4	1	1	1	34	0	194	1457	753	25	-1	
5	1	1	1	34	1	194	1457	45	22	93.512794	HTH
5	1	1	1	34	2	262	1458	5	21	93.512794	1
5	1	1	1	34	3	291	1465	60	14	93.679794	nama
5	1	1	1	34	4	790	1461	46	20	95.792656	HBA
5	1	1	1	34	5	857	1461	7	20	94.865593	1
5	1	1	1	34	6	886	1467	61	15	95.542542	nama
4	1	1	1	35	0	193	1490	755	24	-1	
5	1	1	1	35	1	193	1490	46	21	90.599167	HKA
5	1	1	1	35	2	262	1491	6	20	13.331833	t
5	1	1	1	35	3	290	1498	61	13	95.362457	nama
5	1	1	1	35	4	790	1493	42	21	86.204514	HNI
5	1	1	1	35	5	858	1493	7	21	94.715904	1
5	1	1	1	35	6	887	1500	61	14	95.489120	nama
4	1	1	1	36	0	193	1523	157	21	-1	
5	1	1	1	36	1	193	1523	46	21	91.679298	HKE
5	1	1	1	36	2	261	1524	6	20	92.478729	1
5	1	1	1	36	3	290	1530	60	14	92.478729	nama
4	1	1	1	37	0	193	1556	771	24	-1	
5	1	1	1	37	1	193	1556	46	21	95.665932	HCH
5	1	1	1	37	2	261	1556	5	21	94.277405	1
5	1	1	1	37	3	290	1564	60	14	94.277405	nama
5	1	1	1	37	4	790	1558	46	21	95.080772	BBG
5	1	1	1	37	5	857	1559	7	21	90.147202	1
5	1	1	1	37	6	886	1564	78	16	18.179779	na"wa
4	1	1	1	38	0	192	1589	755	24	-1	
5	1	1	1	38	1	192	1589	47	20	92.911186	HCU
5	1	1	1	38	2	261	1590	5	19	76.707886	1
5	1	1	1	38	3	290	1596	60	13	94.091957	nama
5	1	1	1	38	4	789	1591	46	21	93.678246	BMA
5	1	1	1	38	5	856	1592	7	20	93.678246	1
5	1	1	1	38	6	886	1598	61	15	95.278366	nama
4	1	1	1	39	0	192	1621	755	23	-1	
5	1	1	1	39	1	192	1621	48	20	93.974312	HSU
5	1	1	1	39	2	261	1621	6	20	92.834274	1
5	1	1	1	39	3	289	1628	61	13	94.066681	nama
5	1	1	1	39	4	789	1623	47	20	94.797951	BOP
5	1	1	1	39	5	856	1624	8	20	94.797951	1
5	1	1	1	39	6	886	1630	61	14	95.820107	nama
4	1	1	1	40	0	192	1653	754	23	-1	
5	1	1	1	40	1	192	1653	45	19	89.942070	HSA
5	1	1	1	40	2	260	1654	6	18	89.942070	1
5	1	1	1	40	3	289	1659	60	14	93.948341	nama
5	1	1	1	40	4	788	1655	46	20	95.727196	BRA
5	1	1	1	40	5	856	1655	7	21	89.061035	1
5	1	1	1	40	6	886	1662	60	14	93.206238	nama
4	1	1	1	41	0	192	1684	754	24	-1	
5	1	1	1	41	1	192	1684	46	20	90.629951	HJO
5	1	1	1	41	2	260	1685	5	19	91.524612	1
5	1	1	1	41	3	289	1691	60	14	91.524612	nama
5	1	1	1	41	4	788	1686	47	22	92.210129	BGH
5	1	1	1	41	5	856	1688	7	20	93.924599	1
5	1	1	1	41	6	885	1694	61	14	95.429489	nama
4	1	1	1	42	0	191	1716	738	24	-1	
5	1	1	1	42	1	191	1716	46	21	88.873886	HDH
5	1	1	1	42	2	259	1717	6	20	87.203682	1
5	1	1	1	42	3	289	1723	59	14	87.203682	nama
5	1	1	1	42	4	788	1719	42	21	48.810192	RUE,
