Report,PDF_Page,Column,Item,Gloss,Group,Site_Code,Site,Raw_Form,Status,Reason,Entry_Key
kim-ahmad-kim-sangma2011kochbd,42,0,1,sky,1,c,Kholchanda,au,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,1,sky,1,b,Nokshi,sau,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,1,sky,2,l,Bharatpur,raa,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,1,sky,2,m,Nalchapra,raa,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,1,sky,3,0,Bangla,aka,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,1,sky,4,q,Uttor Nokshi,dn,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,1,sky,4,r,Chandabhoi,dn,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,2,sun,1,m,Nalchapra,raan,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,2,sun,1,l,Bharatpur,rana,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,2,sun,1,q,Uttor Nokshi,raan,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,2,sun,1,b,Nokshi,rasan,installed,,silkochbd2011:i002:b:1
kim-ahmad-kim-sangma2011kochbd,42,0,2,sun,1,c,Kholchanda,rasan,installed,,silkochbd2011:i002:c:1
kim-ahmad-kim-sangma2011kochbd,42,0,2,sun,1,r,Chandabhoi,rasan,installed,,silkochbd2011:i002:r:1
kim-ahmad-kim-sangma2011kochbd,42,0,2,sun,2,0,Bangla,udo,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,3,moon,1,q,Uttor Nokshi,nak,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,3,moon,1,c,Kholchanda,rak,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,3,moon,1,b,Nokshi,ra,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,3,moon,1,r,Chandabhoi,ra,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,3,moon,2,m,Nalchapra,a i ,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,3,moon,2,l,Bharatpur,a ai ,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,3,moon,3,0,Bangla,ad,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,4,star,1,l,Bharatpur,askui,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,4,star,1,m,Nalchapra,askui,excluded,contains a glyph with no verified reading,
kim-ahmad-kim-sangma2011kochbd,42,0,4,star,2,0,Bangla,taa,excluded,contains a glyph with no verified reading,
