Prompt_Key|Item|Gloss|Target_PDF_Page|Target_Printed_Page|Control_PDF_Page|Control_Printed_Page|Koraput|Visakh|Telugu|Adivasi_Oriya|Review_Status|Confidence|Review_Note
001|1|body|89|84|98|93|1oɽol|1oɽol|2sari:ram|gagoɽ|manually_verified|high|enlarged crop confirms source IPA retroflex-flap glyph
002|2|head|89|84|98|93|1ṭala|1ṭala|1ṭala|mu:ṇḍ|manually_verified|high|
003|3|hair|89|84|98|93|1kukti|2kopu|3dzuṭu|seṇḍi|manually_verified|high|
004|4|face|89|84|98|93|1mokom|----|----|----|manually_verified|high|
005|5|eye|89|84|98|93|1kaṇaka|1kaṇaka|1kaṇu|anki|manually_verified|high|
006|6|ear|89|84|98|93|1giṭoni|2gibi|3tʃevi|ka:n|manually_verified|high|
007|7|nose|89|84|98|93|1mu:ndzi|1mu:ndzi|2muku|na:k|manually_verified|high|
008|8|mouth|89|84|98|93|-veju|----|----|----|manually_verified|high|
009|9|teeth|89|84|98|93|1palku|1palku|1pal:u|da:ṇṭ|manually_verified|high|
010|10|tongue|89|84|98|93|1na:lika|1na:lika|1naluka|dzi:b|manually_verified|high|
011|11|breast|89|84|98|93|----|----|----|----|manually_verified|high|
012|12|belly|89|84|98|93|1poṭa|1poṭa|1poṭa/kaḍupu|pe:ṭ|manually_verified|high|
013|13|arm|89|84|98|93|1kiju|1kiju|2tʃej|a:ṭ|manually_verified|high|
014|14|elbow|89|84|98|93|1kilomuṇḍi|1kilomuṇḍi|----|----|manually_verified|high|
015|15|palm|89|84|98|93|-dabi|----|----|----|manually_verified|high|
016|16|finger|89|84|98|93|1ɽeska|1ɽeska|2vrelu|anki|manually_verified|high|source IPA retroflex-flap glyph
017|17|nail|89|84|98|93|1go:ru|1go:ru|1go:ru|no:k|manually_verified|high|
018|18|leg|89|84|98|93|1ka:lu|1ka:lu|1ka:lu|go:ḍ|manually_verified|high|
019|19|skin|89|84|98|93|1ṭo:lu|1ṭo:lu|2tʃarmamu|sa:m|manually_verified|high|
020|20|bone|89|84|98|93|1ḍumu|1ḍumu|2emuka|a:ḍ|manually_verified|high|
021|21|heart|89|84|98|93|1guṇṭakaja|1muṇṭa guṇḍakaja|1guṇḍe|koḍoli ḍuṇḍi|manually_verified|high|
022|22|blood|89|84|98|93|1nal:a/neṭir|1nal:a/neṭir|2raktamu|bon:l|manually_verified|high|
023|23|urine|89|84|98|93|----|----|----|----|manually_verified|high|
024|24|feces|89|84|98|93|----|----|----|----|manually_verified|high|
025|25|village|89|84|98|93|1na:ru|1na:ru|2gramamu/u:ru|ga:ŋ|manually_verified|high|
026|26|house|90|85|99|94|1il:u|1il:u|1il:u|go:r|manually_verified|high|
027|27|roof|90|85|99|94|1rekam|1rekam|----|sani|manually_verified|high|
028|28|door|90|85|99|94|1sehla|1sehla|2ḍwaramu|kopaṭ|manually_verified|high|
029|29|firewood|90|85|99|94|1vehku|1vehku|2kalapa|----|manually_verified|high|
030|30|broom|90|85|99|94|1siperi|1siperi|1tʃi:puru|baḍni|manually_verified|high|
031|31|mortar|90|85|99|94|----|----|----|----|manually_verified|high|
032|32|pestle|90|85|99|94|1ko:lu|1ko:lu|2ro:kal|musol|manually_verified|high|
033|33|hammer|90|85|99|94|1suṭe|1suṭe|1suṭi|----|manually_verified|high|
034|34|knife|90|85|99|94|1ku:ḍam|1ku:ḍam|2tʃa:ku|kaṭra|manually_verified|high|
035|35|axe|90|85|99|94|1parsi|2goḍeli|2goḍeli|ṭeŋija|manually_verified|high|
036|36|rope|90|85|99|94|1na:su|1na:su|2traḍu|ḍori|manually_verified|high|
037|37|thread|90|85|99|94|1nu:lu|1nu:lu|2daramu|suṭa|manually_verified|high|
038|38|needle|90|85|99|94|1suri/dopanam|1suḍi/depanam|1su:ḍi|sudza|manually_verified|high|enlarged crop confirms plain r without source underdot or hook
039|39|cloth|90|85|99|94|1vaṭi|2pa:ṭa|3baṭa|luga|manually_verified|high|
040|40|ring|90|85|99|94|1boṇṭu|1boṇṭu|2uŋaram|muṇḍi|manually_verified|high|
041|41|sun|90|85|99|94|1ve:ḍa|2poḍu|3surjuḍu|be:l|manually_verified|high|
042|42|moon|90|85|99|94|1le:ndzu|2ṇela|3tʃaṇḍruḍu|dzon|manually_verified|high|
043|43|sky|90|85|99|94|1a:ka:sam|1a:ka:sam|1a:ka:sam|sorog|manually_verified|high|
044|44|star|90|85|99|94|1suka|1suka|1tʃuka/tara/nakshtram|1ṭara|manually_verified|high|
045|45|rain|90|85|99|94|1piru|1piru|2varʃam|pani|manually_verified|high|
046|46|water|90|85|99|94|1e:ru|1e:ru|1ni:ru|pani|manually_verified|high|
047|47|river|90|85|99|94|1gaḍ:a|1gaḍ:a|2naḍi|ga:ḍ|manually_verified|high|
048|48|cloud|90|85|99|94|1baḍoḍ|2mosop|3me:kam|baḍol|manually_verified|high|
049|49|lightning|90|85|99|94|1mersṭeŋ|1mersṭeŋ|1merupu|bidzul|manually_verified|high|enlarged crop rechecked; second character is dotted i, not l
050|50|rainbow|90|85|99|94|1koler|2kuruveli|3inḍraḍanasu|----|manually_verified|high|
051|51|wind|91|86|100|95|1ga:li|1ga:li|1ga:li|pobon|manually_verified|high|
052|52|stone|91|86|100|95|1kal:u|2paṇuku|3ra:ji|pakna|manually_verified|high|
053|53|path|91|86|100|95|1sari|1sari|2ḍa:ri|ba:ṭ|manually_verified|high|
054|54|sand|91|86|100|95|1sikla|1iska|1isuka|bali|manually_verified|high|
055|55|fire|91|86|100|95|1sisu|1sisu|2manta|dzo:j|manually_verified|high|
056|56|smoke|91|86|100|95|1go:ju|1go:ju|2poka|ḍuŋa|manually_verified|high|
057|57|ash|91|86|100|95|1ni:ru|1ni:ru|2bu:ḍiṭa|sa:r|manually_verified|high|
058|58|mud|91|86|100|95|----|----|----|----|manually_verified|high|
059|59|dust|91|86|100|95|1ḍu:li|1ḍu:li|2ḍumu|----|manually_verified|high|
060|60|gold|91|86|100|95|1baṇa:ram|1baṇa:ram|1baŋa:ram|sona|manually_verified|high|
061|61|tree|91|86|100|95|1maran|1maran|2tʃeṭu|goṭʃ|manually_verified|high|
062|62|leaf|91|86|100|95|1a:ku|1a:ku|1a:ku|1poṭor|manually_verified|high|
063|63|root|91|86|100|95|1vel:a|1vel:a|1ve:ru|se:r|manually_verified|high|
064|64|thorn|91|86|100|95|1sa:mu|1sa:mpu|2muḷ:u|kaṇṭa|manually_verified|high|
065|65|flower|91|86|100|95|1pu:ṇu|1pu:ṇu|1pu:vu|pu:l|manually_verified|high|
066|66|fruit|91|86|100|95|1paṇḍu/ka:ja|1paṇḍu/ka:ja|1paṇḍu|po:l|manually_verified|high|
067|67|mango|91|86|100|95|1mahka|1mahka|2mamiḍa|a:mb|manually_verified|high|
068|68|banana|91|86|100|95|1ṭa:ḍi|2aṇṭi|3araṭi|koḍli|manually_verified|high|
069|69|wheat (husked)|91|86|100|95|----|----|----|----|manually_verified|high|
070|70|millet (husked)|91|86|100|95|1ḍe:ra|1ḍe:ra|2tʃo:ḍi|maṇḍija|manually_verified|high|
071|71|rice (husked)|91|86|100|95|1dza:va|1dza:va|2bi:jam|ba:ṭ|manually_verified|high|
072|72|potato|91|86|100|95|1al:ukuṇi|1baŋlaukuṇi|2baŋgala ḍumpa|baŋlakaṇḍa|manually_verified|high|
073|73|eggplant|91|86|100|95|1serga|2vahkaj|2vankaj|----|manually_verified|high|
074|74|groundnut|91|86|100|95|-bumi ka:ṭoliŋ|----|----|----|manually_verified|high|
075|75|chili|91|86|100|95|1miranku|1miranku|2merapa|moris|manually_verified|high|
076|76|turmeric|92|87|101|96|1geraka|2pasiŋ|2pasupu|----|manually_verified|high|
077|77|garlic|92|87|101|96|1lasoṇa|2ṭelaul:i|3vel:ul:i|loson|manually_verified|high|
078|78|onion|92|87|101|96|1uḷ:i|1uḷ:i|1uḷ:i|uḷ:i|manually_verified|high|
079|79|cauliflower|92|87|101|96|----|----|----|----|manually_verified|high|
080|80|tomato|92|87|101|96|1bedza|1bedza|2tomato/sima vanka|bedza|manually_verified|high|
081|81|cabbage|92|87|101|96|-kobi|----|----|----|manually_verified|high|
082|82|oil|92|87|101|96|1niju|2nu:ne|2nu:ne|sikon|manually_verified|high|
083|83|salt|92|87|101|96|1so:ru|1so:ru|2up:u|----|manually_verified|high|
084|84|meat|92|87|101|96|1kaṇḍa|1kaṇḍa|2ma:msam|maus|manually_verified|high|
085|85|fat|92|87|101|96|1koṇuves|2koɽuvu|3kovu|balosla|manually_verified|high|
086|86|fish|92|87|101|96|1minku|2mojeŋ|3tʃa:pa|maṭʃ|manually_verified|high|
087|87|chicken|92|87|101|96|1kohku|2koru|2ko:ḍi|kukɽa|manually_verified|high|
088|88|egg|92|87|101|96|1guḍ:u|1guḍ:u|1guḍ:u/gruḍ:u|ḍi:m|manually_verified|high|
089|89|cow|92|87|101|96|1koḍi|1kori|2a:vu|ga:j|manually_verified|high|
090|90|buffalo|92|87|101|96|1ko:v:i|2poṭu|3ḍun:a|puḍra|manually_verified|high|
091|91|milk|92|87|101|96|1pa:lu|1pa:lu|1pa:lu|ḍu:ḍ|manually_verified|high|
092|92|horns|92|87|101|96|1kom:u|1kom:u|1kom:u|si:ŋ|manually_verified|high|
093|93|tail|92|87|101|96|1ṭo:ka|1ṭo:ko|1ṭo:ka|le:ndz|manually_verified|high|
094|94|goat|92|87|101|96|1gore|1gure|2me:ka|sel:i|manually_verified|high|
095|95|dog|92|87|101|96|1nukuḍi|1nukuɽi|2kuka|kukur|manually_verified|high|
