Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	PDF_Page	Printed_Page	Response	Review
1	sky	1		akaʃ	0	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
1	sky	2		rɨvan	al	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
1	sky	3		van	bijm	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
1	sky	4		hɔn	ck	53	50	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
1	sky	5		kɨnːi	gh	53	50	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
1	sky	5		kəní	e	53	50	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	1		ʃurdʒo	0	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	2		ni	abijlm	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	3		kɨnːi	g	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	3		kəní	e	53	50	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	3		khɔni	ck	53	50	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	4		kɨnːi	g	53	50	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	4		kɨnːito	h	53	50	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
2	sun	4		kəní	e	53	50	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
3	moon	1		tʃãd	0	53	50	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
3	moon	2		hla	abil	53	50	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
3	moon	3		khrɔ	ck	53	50	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
