Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:belavarthy:i226	goɖɭi	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 226; retroflex stop and lateral retained
kurumba2012:belavarthy:i227	suri	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 227; read directly from 450 dpi cell
kurumba2012:belavarthy:i228	veɭɭɨ	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 228; retroflex laterals and barred-i glyph retained
kurumba2012:belavarthy:i229	ambɨ	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 229; barred-i glyph retained
kurumba2012:belavarthy:i230	suɖi	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 230; retroflex stop retained
kurumba2012:belavarthy:i231	nuɭse	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 231; retroflex lateral retained
kurumba2012:belavarthy:i232		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 232; four printed dashes confirmed
kurumba2012:belavarthy:i233	sɛ:pe	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 233; open-e glyph and source colon retained
kurumba2012:belavarthy:i234	guɖɭi	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 234; retroflex stop and lateral retained
kurumba2012:belavarthy:i235	ʃeɳi	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 235; fricative and retroflex nasal retained
kurumba2012:belavarthy:i236	tambarle	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 236; read directly from 450 dpi cell
kurumba2012:belavarthy:i237	enna:r	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 237; source colon retained
kurumba2012:belavarthy:i238	kasuɭɭuge	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 238; long cell reread; retroflex laterals retained
kurumba2012:belavarthy:i239	basuttuge	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 239; long cell reread from enlarged crop
kurumba2012:belavarthy:i240	arube	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 240; read directly from 450 dpi cell
kurumba2012:belavarthy:i241		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 241; four printed dashes confirmed
kurumba2012:belavarthy:i242	makkire	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 242; read directly from 450 dpi cell
kurumba2012:belavarthy:i243	setti	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 243; read directly from 450 dpi cell
kurumba2012:belavarthy:i244		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 244; four printed dashes confirmed
kurumba2012:belavarthy:i245	palliɣe	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 245; final fricative glyph reread from enlarged crop
kurumba2012:belavarthy:i246		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 246; four printed dashes confirmed
kurumba2012:belavarthy:i247		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 247; four printed dashes confirmed
kurumba2012:belavarthy:i248		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 248; four printed dashes confirmed
kurumba2012:belavarthy:i249		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 249; four printed dashes confirmed
kurumba2012:belavarthy:i250		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 250; four printed dashes confirmed
kurumba2012:pudukkottai:i226	eriʃalu	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 226; fricative read from enlarged crop
kurumba2012:pudukkottai:i227	katti	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 227; read directly from 450 dpi cell
kurumba2012:pudukkottai:i228		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 228; four printed dashes confirmed
kurumba2012:pudukkottai:i229		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 229; four printed dashes confirmed
kurumba2012:pudukkottai:i230	su:ndzi	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 230; source colon and visible d+z sequence retained
kurumba2012:pudukkottai:i231	nuɖutstse	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 231; retroflex stop and two printed ts sequences retained
kurumba2012:pudukkottai:i232		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 232; four printed dashes confirmed
kurumba2012:pudukkottai:i233		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 233; four printed dashes confirmed
kurumba2012:pudukkottai:i234		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 234; four printed dashes confirmed
kurumba2012:pudukkottai:i235		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 235; four printed dashes confirmed
kurumba2012:pudukkottai:i236		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 236; four printed dashes confirmed
kurumba2012:pudukkottai:i237		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 237; four printed dashes confirmed
kurumba2012:pudukkottai:i238		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 238; four printed dashes confirmed
kurumba2012:pudukkottai:i239	si:ppu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 239; source colon retained
kurumba2012:pudukkottai:i240	arba	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 240; read directly from 450 dpi cell
kurumba2012:pudukkottai:i241		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 241; four printed dashes confirmed
kurumba2012:pudukkottai:i242		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 242; four printed dashes confirmed
kurumba2012:pudukkottai:i243	satti	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 243; read directly from 450 dpi cell
kurumba2012:pudukkottai:i244		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 244; four printed dashes confirmed
kurumba2012:pudukkottai:i245		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 245; four printed dashes confirmed
kurumba2012:pudukkottai:i246		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 246; four printed dashes confirmed
kurumba2012:pudukkottai:i247		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 247; four printed dashes confirmed
kurumba2012:pudukkottai:i248		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 248; four printed dashes confirmed
kurumba2012:pudukkottai:i249		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 249; four printed dashes confirmed
kurumba2012:pudukkottai:i250		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.248 / printed p.243 / item 250; four printed dashes confirmed
