Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:belavarthy:i326		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 326; printed dash placeholder confirmed
kurumba2012:belavarthy:i327	maɣa:	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 327; velar fricative and source colon retained
kurumba2012:belavarthy:i328		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 328; printed dash placeholder confirmed
kurumba2012:belavarthy:i329	əɳɳa	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 329; schwa and retroflex nasals retained
kurumba2012:belavarthy:i330	tamma:	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 330; source colon retained
kurumba2012:belavarthy:i331	akka:	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 331; source colon retained
kurumba2012:belavarthy:i332	təŋgɨ	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 332; schwa, velar nasal, and barred-i glyph reread from 900 dpi crop
kurumba2012:belavarthy:i333	t̪a:t̪t̪a:	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 333; dental marks and both source colons retained after 900 dpi reread
kurumba2012:belavarthy:i334	adʒɨ	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 334; affricate sequence and barred-i glyph reread from 900 dpi crop
kurumba2012:belavarthy:i335		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 335; printed dash placeholder confirmed
kurumba2012:belavarthy:i336		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 336; printed dash placeholder confirmed
kurumba2012:belavarthy:i337	ma:ma	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 337; source colon retained
kurumba2012:belavarthy:i338	at̪t̪e:	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 338; dental marks and final colon retained after 900 dpi reread
kurumba2012:belavarthy:i339		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 339; printed dash placeholder confirmed
kurumba2012:belavarthy:i340		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 340; printed dash placeholder confirmed
kurumba2012:belavarthy:i341		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 341; printed dash placeholder confirmed
kurumba2012:belavarthy:i342		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 342; printed dash placeholder confirmed
kurumba2012:belavarthy:i343		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 343; printed dash placeholder confirmed
kurumba2012:belavarthy:i344		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 344; printed dash placeholder confirmed
kurumba2012:belavarthy:i345		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 345; printed dash placeholder confirmed
kurumba2012:belavarthy:i346		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 346; printed dash placeholder confirmed
kurumba2012:belavarthy:i347		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 347; printed dash placeholder confirmed
kurumba2012:belavarthy:i348		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 348; printed dash placeholder confirmed
kurumba2012:belavarthy:i349		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 349; printed dash placeholder confirmed
kurumba2012:belavarthy:i350		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 350; printed dash placeholder confirmed
kurumba2012:pudukkottai:i326		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 326; printed dash placeholder confirmed
kurumba2012:pudukkottai:i327	maga	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 327; read directly from 900 dpi crop
kurumba2012:pudukkottai:i328	mʌgalu	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 328; wedge vowel reread from 900 dpi crop
kurumba2012:pudukkottai:i329	anna	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 329; read directly from 900 dpi crop
kurumba2012:pudukkottai:i330	tamma	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 330; read directly from 900 dpi crop
kurumba2012:pudukkottai:i331	akka	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 331; read directly from 900 dpi crop
kurumba2012:pudukkottai:i332	aɨtta	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 332; barred-i glyph reread from 900 dpi crop
kurumba2012:pudukkottai:i333	t̪a:t̪t̪a:	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 333; dental marks and both source colons retained after 900 dpi reread
kurumba2012:pudukkottai:i334	adzdzɨ	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 334; visible d+z sequences and barred-i glyph retained from 900 dpi crop
kurumba2012:pudukkottai:i335	mɔmmaga	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 335; open-o glyph reread from 900 dpi crop
kurumba2012:pudukkottai:i336	mommagalu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 336; read directly from 900 dpi crop
kurumba2012:pudukkottai:i337		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 337; printed dash placeholder confirmed
kurumba2012:pudukkottai:i338		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 338; printed dash placeholder confirmed
kurumba2012:pudukkottai:i339	aɽɽja	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 339; retroflex laterals reread from 900 dpi crop
kurumba2012:pudukkottai:i340	tosse	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 340; read directly from 900 dpi crop
kurumba2012:pudukkottai:i341		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 341; printed dash placeholder confirmed
kurumba2012:pudukkottai:i342	beɽugɨvu	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 342; retroflex lateral and barred-i glyph reread from 900 dpi crop
kurumba2012:pudukkottai:i343		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 343; printed dash placeholder confirmed
kurumba2012:pudukkottai:i344	andɨne:ra	attested	medium	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.252 / printed p.247 / item 344; barred-i glyph and source colon reread from 900 dpi crop
