Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:kolar_kuruba:i426		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 426; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i427		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 427; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i428		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 428; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i429		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 429; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i430		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 430; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i431		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 431; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i432		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 432; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i433		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 433; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i434		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 434; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i435		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 435; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i436		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 436; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i437		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 437; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i438		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 438; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i439		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 439; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i440		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 440; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i441	wɔɳigɨɖɖu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 441; read directly from 450 dpi rendered cell; source notation retained diplomatically
kurumba2012:kolar_kuruba:i442	ʈunba	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 442; read directly from 450 dpi rendered cell; source notation retained diplomatically
kurumba2012:kolar_kuruba:i443	guɳɖu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 443; read directly from 450 dpi rendered cell; source notation retained diplomatically
kurumba2012:kolar_kuruba:i444	sʌnnuga	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 444; read directly from 450 dpi rendered cell; source notation retained diplomatically
kurumba2012:kolar_kuruba:i445		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 445; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i446	murugajɨʈʈi	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 446; read directly from 450 dpi rendered cell; source notation retained diplomatically
kurumba2012:kolar_kuruba:i447		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 447; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i448		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 448; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i449		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 449; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:kolar_kuruba:i450		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 450; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i426		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 426; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i427		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 427; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i428		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 428; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i429		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 429; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i430		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 430; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i431		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 431; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i432		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 432; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i433		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 433; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i434		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 434; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i435		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 435; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i436		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 436; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i437		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 437; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i438		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 438; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i439		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 439; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:chitradurga_kuruba:i440		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.300 / printed p.295 / item 440; four printed dashes confirmed in 450 dpi rendered cell
