Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:buringi:i251		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 251; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i252		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 252; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i253		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 253; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i254		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 254; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i255		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 255; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i256		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 256; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i257		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 257; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i258		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 258; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i259		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 259; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i260		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 260; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i261		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 261; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i262		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 262; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i263		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 263; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i264		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 264; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i265		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 265; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i266		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 266; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i267		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 267; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i268		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 268; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i269		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 269; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i270		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 270; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i271		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 271; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i272		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 272; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i273		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 273; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i274		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 274; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:buringi:i275		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 275; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i251		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 251; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i252		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 252; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i253		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 253; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i254		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 254; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i255		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 255; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i256		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 256; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i257		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 257; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i258		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 258; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i259		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 259; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i260		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 260; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:madapalli:i261		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.315 / printed p.310 / item 261; four printed dashes confirmed in 450 dpi rendered cell
