Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:beerajjanur:i276		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 276; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i277		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 277; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i278		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 278; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i279		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 279; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i280		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 280; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i281		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 281; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i282		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 282; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i283		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 283; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i284		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 284; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i285		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 285; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i286		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 286; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i287		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 287; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i288		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 288; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i289		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 289; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i290		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 290; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i291		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 291; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i292		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 292; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i293		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 293; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i294		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 294; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i295		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 295; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i296		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 296; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i297		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 297; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:beerajjanur:i298		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.360 / printed p.355 / item 298; four printed dashes confirmed in 450 dpi rendered cell
