Cell_Key	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:karmadai_vakkaliga:i151		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 151; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:karmadai_vakkaliga:i152	jenu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 152; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:karmadai_vakkaliga:i153		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 153; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:karmadai_vakkaliga:i154	ʌttʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 154; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:karmadai_vakkaliga:i155		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 155; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:karmadai_vakkaliga:i156	noɳa	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 156; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:karmadai_vakkaliga:i157	dʒenʌɖuputʃɨ	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 157; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:karmadai_vakkaliga:i158	pʌttamputʃɨ	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 158; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:karmadai_vakkaliga:i159	soɭɭe	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 159; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:karmadai_vakkaliga:i160	jeruppu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 160; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
kurumba2012:karmadai_vakkaliga:i161		blank	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 161; four printed dashes confirmed in 450 dpi rendered cell
kurumba2012:karmadai_vakkaliga:i162	nʌɳɖu	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	physical PDF p.377 / printed p.372 / item 162; read directly from enlarged 450/900 dpi rendered cell; source notation retained diplomatically
