Cell_Key	PDF_Page	Printed_Page	Row	Item	List_Key	Source_Label	Scope	Language_ID	Dialect_ID	OCR_Gloss_Scaffold	OCR_Form_Scaffold	Manual_Form	Cell_Status	Confidence	Review_Method	Reviewer	Notes
kurumba2012:tamil_madras:i001	217	212	1	1	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	4 leaf	JIla	kʌl	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i002	217	212	2	2	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	flower		mʌn	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i003	217	212	3	3	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras		pus	t̪ʌɳɳir	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i004	217	212	4	4	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	6 tree	MACAM	jilʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally; interpretation deferred
kurumba2012:tamil_madras:i005	217	212	5	5	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	7 WOod	katta!	pu:	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible source colon retained literally; interpretation deferred
kurumba2012:tamil_madras:i006	217	212	6	6	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	8 seed	vidat	mʌrʌm	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i007	217	212	7	7	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	9 fruit	paķam	kʌttʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally; interpretation deferred
kurumba2012:tamil_madras:i008	217	212	8	8	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras			viɖʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally; interpretation deferred
kurumba2012:tamil_madras:i009	217	212	9	9	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras			pʌɻʌm	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visually read from 600 dpi render; OCR ignored
kurumba2012:tamil_madras:i010	217	212	10	10	tamil_madras	Standard Tamil, Madras	control	Tamil	sil-kurumba-1985-tamil-madras	11 rot	ver	mʌrʌppʌttʌ'	attested	high	manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold	OpenAI Codex	visible raised apostrophe retained literally; interpretation deferred
