Cell_Key,PDF_Page,Printed_Page,Row,Item,List_Key,Scope,Language_ID,Dialect_ID,Manual_Gloss,Manual_Form,Cell_Status,Confidence,Review_Method,Status,Reason,Citation,Entry_Key,Integration_Status,Integration_Reason
kurumba2012:tamil_madras:i001,217,212,1,1,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,stone,kʌl,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 1, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i001,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i002,217,212,2,2,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,soil,mʌn,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 2, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i002,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i003,217,212,3,3,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,water,t̪ʌɳɳir,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 3, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i003,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i004,217,212,4,4,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,leaf,jilʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally; interpretation deferred,"blairetal2012kurumba[Appendix C, printed p. 212, item 4, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i004,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i005,217,212,5,5,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,flower,pu:,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible source colon retained literally; interpretation deferred,"blairetal2012kurumba[Appendix C, printed p. 212, item 5, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i005,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i006,217,212,6,6,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,tree,mʌrʌm,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 6, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i006,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i007,217,212,7,7,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,wood,kʌttʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally; interpretation deferred,"blairetal2012kurumba[Appendix C, printed p. 212, item 7, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i007,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i008,217,212,8,8,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,seed,viɖʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally; interpretation deferred,"blairetal2012kurumba[Appendix C, printed p. 212, item 8, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i008,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i009,217,212,9,9,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,fruit,pʌɻʌm,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 9, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i009,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i010,217,212,10,10,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,bark,mʌrʌppʌttʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally; interpretation deferred,"blairetal2012kurumba[Appendix C, printed p. 212, item 10, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i010,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i011,217,212,11,11,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,root,ver,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 11, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i011,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i012,217,212,12,12,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,thorn,muɭ,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 12, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i012,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i013,217,212,13,13,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,house,vidu,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 13, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i013,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i014,217,212,14,14,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,fire,t̪i,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 14, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i014,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i015,217,212,15,15,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,smoke,pugʌ',attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visible raised apostrophe retained literally; interpretation deferred,"blairetal2012kurumba[Appendix C, printed p. 212, item 15, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i015,excluded_control,comparison-control attestation retained audit-only
kurumba2012:tamil_madras:i016,217,212,16,16,tamil_madras,control,Tamil,sil-kurumba-1985-tamil-madras,ash,sambʌl,attested,high,manual visual transcription from rendered source scan; OCR used only as locator/comparison scaffold,staged,visually read from 600 dpi render; OCR ignored,"blairetal2012kurumba[Appendix C, printed p. 212, item 16, list Standard Tamil, Madras]",kurumba2012-tamil_madras-i016,excluded_control,comparison-control attestation retained audit-only
