physical_page	printed_page	line_id	item	gloss	group	site_code	site	role	site_variant	status	form	visible_base	note	evidence_sha256
43	42	P043-L056	81	buffalo	1	A	site-code-A	target	1	attested	məŋkʰɛ			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L055	81	buffalo	1	B	site-code-B	target	1	attested	manxa			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L055	81	buffalo	1	C	site-code-C	target	1	attested	manxa			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L055	81	buffalo	1	D	site-code-D	target	1	attested	manxa			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L055	81	buffalo	1	E	site-code-E	target	1	attested	manxa			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
43	42	P043-L057	81	buffalo	2	0	Bangla	control	1	attested	mohiʃ			5e24b3f741d34b4cf197ca849cd221ca25f22bf1948f020cd630cc23a7a684df
44	43	P044-L001	82	horn (of buffalo)	1	A	site-code-A	target	1	attested	mɛrɛk			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L002	82	horn (of buffalo)	1	B	site-code-B	target	1	attested	maraŋ			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L002	82	horn (of buffalo)	1	C	site-code-C	target	1	attested	maraŋ			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L002	82	horn (of buffalo)	1	D	site-code-D	target	1	attested	maraŋ			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L003	82	horn (of buffalo)	2	E	site-code-E	target	1	attested	ʃiŋ			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L003	82	horn (of buffalo)	2	0	Bangla	control	1	attested	ʃiŋ			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L004	83	tail	1	A	site-code-A	target	1	attested	xola			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L004	83	tail	1	B	site-code-B	target	1	attested	xola			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L004	83	tail	1	C	site-code-C	target	1	attested	xola			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L004	83	tail	1	D	site-code-D	target	1	attested	xola			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L004	83	tail	1	E	site-code-E	target	1	attested	xola			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L005	83	tail	2	0	Bangla	control	1	attested	lɛdʒ			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L007	84	goat	1	A	site-code-A	target	1	attested	ɛrɛ			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L006	84	goat	1	B	site-code-B	target	1	attested	ɛra			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L006	84	goat	1	C	site-code-C	target	1	attested	ɛra			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L006	84	goat	1	D	site-code-D	target	1	attested	ɛra			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L006	84	goat	1	E	site-code-E	target	1	attested	ɛra			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L008	84	goat	2	0	Bangla	control	1	attested	tʃʰagol			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L009	85	pig	0	A	site-code-A	target	1	blank			Printed “no entry”.	bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L010	85	pig	1	B	site-code-B	target	1	attested	kiʃi			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L010	85	pig	1	C	site-code-C	target	1	attested	kiʃi			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L010	85	pig	1	D	site-code-D	target	1	attested	kiʃi			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
44	43	P044-L010	85	pig	1	E	site-code-E	target	1	attested	kiʃi			bdd0f705bf6e00ec853e3b910fc4b8f5f8c469afa8940604d42b4714e6afceaa
