physical_page	printed_page	line_id	item	gloss	group	site_code	site	role	site_variant	status	form	visible_base	note	evidence_sha256
52	51	P052-L011	221	to kill	0	A	site-code-A	target	1	blank			Printed “no entry”.	6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L012	221	to kill	1	B	site-code-B	target	1	attested	pit			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L012	221	to kill	1	C	site-code-C	target	1	attested	pit			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L012	221	to kill	1	D	site-code-D	target	1	attested	pit			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L012	221	to kill	1	E	site-code-E	target	1	attested	pit			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L013	221	to kill	2	0	Bangla	control	1	attested	mara fɛla			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L016	222	to die	3	A	site-code-A	target	1	attested	kitʃɛskirɛs			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L014	222	to die	1	B	site-code-B	target	1	attested	kʰɛ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L014	222	to die	1	C	site-code-C	target	1	attested	kʰɛ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L014	222	to die	1	D	site-code-D	target	1	attested	kʰɛ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L014	222	to die	1	E	site-code-E	target	1	attested	kʰɛ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L015	222	to die	2	0	Bangla	control	1	attested	mara dʒawa			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L017	223	to love	0	A	site-code-A	target	1	blank			Printed “no entry”.	6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L018	223	to love	1	B	site-code-B	target	1	attested	korɛlag			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L019	223	to love	2	C	site-code-C	target	1	attested	dularnan			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L020	223	to love	3	D	site-code-D	target	1	attested	bʰalobaʃa			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L017	223	to love	0	E	site-code-E	target	1	blank			Printed “no entry”.	6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L020	223	to love	3	0	Bangla	control	1	attested	bʰalobaʃa			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L021	224	to hate	0	A	site-code-A	target	1	blank			Printed “no entry”.	6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L021	224	to hate	0	B	site-code-B	target	1	blank			Printed “no entry”.	6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L022	224	to hate	1	C	site-code-C	target	1	attested	xar			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L022	224	to hate	1	D	site-code-D	target	1	attested	xar			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L021	224	to hate	0	E	site-code-E	target	1	blank			Printed “no entry”.	6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L023	224	to hate	2	0	Bangla	control	1	attested	gʰrina kɔra			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L024	225	one	1	A	site-code-A	target	1	attested	ɔntɛ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L027	225	one	3	B	site-code-B	target	1	attested	ek			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L025	225	one	1	C	site-code-C	target	1	attested	ond			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L026	225	one	2	D	site-code-D	target	1	attested	otʰan			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L025	225	one	1	E	site-code-E	target	1	attested	ond			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L027	225	one	3	0	Bangla	control	1	attested	ek			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L028	226	two	1	A	site-code-A	target	1	attested	du			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L029	226	two	1	B	site-code-B	target	1	attested	dui̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L029	226	two	1	C	site-code-C	target	1	attested	dui̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L029	226	two	1	D	site-code-D	target	1	attested	dui̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L029	226	two	1	E	site-code-E	target	1	attested	dui̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L029	226	two	1	0	Bangla	control	1	attested	dui̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L030	227	three	1	A	site-code-A	target	1	attested	tin			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L030	227	three	1	B	site-code-B	target	1	attested	tin			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L030	227	three	1	C	site-code-C	target	1	attested	tin			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L030	227	three	1	D	site-code-D	target	1	attested	tin			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L030	227	three	1	E	site-code-E	target	1	attested	tin			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L030	227	three	1	0	Bangla	control	1	attested	tin			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L031	228	four	1	A	site-code-A	target	1	attested	tʃɛr			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L032	228	four	1	B	site-code-B	target	1	attested	tʃar			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L032	228	four	1	C	site-code-C	target	1	attested	tʃar			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L032	228	four	1	D	site-code-D	target	1	attested	tʃar			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L032	228	four	1	E	site-code-E	target	1	attested	tʃar			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L032	228	four	1	0	Bangla	control	1	attested	tʃar			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L033	229	five	1	A	site-code-A	target	1	attested	pɛntʃ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L034	229	five	1	B	site-code-B	target	1	attested	patʃ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L034	229	five	1	C	site-code-C	target	1	attested	patʃ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L034	229	five	1	D	site-code-D	target	1	attested	patʃ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L034	229	five	1	E	site-code-E	target	1	attested	patʃ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L034	229	five	1	0	Bangla	control	1	attested	patʃ			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L036	230	six	1	A	site-code-A	target	1	attested	tʃʰou̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L035	230	six	1	B	site-code-B	target	1	attested	tʃʰoi̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L035	230	six	1	C	site-code-C	target	1	attested	tʃʰoi̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L035	230	six	1	D	site-code-D	target	1	attested	tʃʰoi̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L035	230	six	1	E	site-code-E	target	1	attested	tʃʰoi̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
52	51	P052-L035	230	six	1	0	Bangla	control	1	attested	tʃʰoi̯			6ed56b95d7351fc9207a7e2688a5665ca9bd508efdcbf780480d903878031171
