line_id	item	gloss	group	site_codes	status	confidence	form	visible_base	note
P053-L040	251	thin	0	A	blank	high			Printed “no entry”.
P053-L041	251	thin	1	D	attested	high	ʃarua		
P053-L042	251	thin	1	E	attested	high	ʃaruɛ		
P053-L043	251	thin	1	BC	attested	high	saruha		
P053-L044	251	thin	2	0	attested	high	tʃikon		
P053-L045	252	wide, broad	0	A	blank	high			Printed “no entry”.
P053-L046	252	wide, broad	1	BCD	attested	high	tʃakar		
P053-L047	252	wide, broad	2	E	attested	high	tʃɛpta		
P053-L048	252	wide, broad	3	0	attested	high	tʃɔra		
P053-L049	253	narrow	0	A	blank	high			Printed “no entry”.
P053-L050	253	narrow	1	E	attested	high	ʃaruhɛ		
P053-L051	253	narrow	1	BCD	attested	high	saruha		
P053-L052	253	narrow	2	0	attested	high	ʃɔru		
P053-L053	254	deep	0	A	blank	high			Printed “no entry”.
P053-L054	254	deep	1	BCDE	attested	high	gaɖːi		
P053-L055	254	deep	2	0	attested	high	gobʰir		
P054-L001	255	shallow	0	AC	blank	high			Printed “no entry”.
P054-L002	255	shallow	1	B	attested	high	tʰorɛ		
P054-L003	255	shallow	2	D	attested	high	dipːa		
P054-L004	255	shallow	2	E	attested	high	dipːɛ		
P054-L005	255	shallow	3	0	attested	high	ɔgobʰir		
P054-L006	256	full (cup)	0	A	blank	high			Printed “no entry”.
P054-L007	256	full (cup)	1	BCDE	attested	high	nind		
P054-L008	256	full (cup)	2	0	attested	high	purno		
P054-L009	257	empty (cup)	0	A	blank	high			Printed “no entry”.
P054-L010	257	empty (cup)	1	B	attested	high	nidi		
P054-L011	257	empty (cup)	2	C	attested	high	xai̯ka		
P054-L012	257	empty (cup)	3	E	attested	high	ɛndra malla		
P054-L013	257	empty (cup)	3	D	attested	high	ɛndraha malla		
P054-L014	257	empty (cup)	4	0	attested	high	kʰali		
P054-L015	258	hungry	1	A	attested	high	kʰirɛ		
P054-L016	258	hungry	1	BCD	attested	high	kira		
P054-L017	258	hungry	1	E	attested	high	kirɛ		
P054-L018	258	hungry	2	0	attested	high	kʰidɛ laga		
P054-L019	259	thirsty	1	A	attested	high	oŋkɛ		
P054-L020	259	thirsty	1	BCDE	attested	high	onka		
P054-L021	259	thirsty	2	0	attested	high	pipaʃa pawa		
P054-L022	260	sweet	0	A	blank	high			Printed “no entry”.
P054-L023	260	sweet	1	BCDE	attested	high	ɛmba		
P054-L024	260	sweet	2	0	attested	high	miʃti		
