character	codepoint	unicode_name	all_attested_count	staged_target_count	combining_class
 	U+0020	SPACE	80	36	0
/	U+002F	SOLIDUS	17	10	0
a	U+0061	LATIN SMALL LETTER A	1246	977	0
b	U+0062	LATIN SMALL LETTER B	267	210	0
d	U+0064	LATIN SMALL LETTER D	390	318	0
e	U+0065	LATIN SMALL LETTER E	21	18	0
f	U+0066	LATIN SMALL LETTER F	8	4	0
g	U+0067	LATIN SMALL LETTER G	149	114	0
h	U+0068	LATIN SMALL LETTER H	120	103	0
i	U+0069	LATIN SMALL LETTER I	547	463	0
j	U+006A	LATIN SMALL LETTER J	24	23	0
k	U+006B	LATIN SMALL LETTER K	390	300	0
l	U+006C	LATIN SMALL LETTER L	280	224	0
m	U+006D	LATIN SMALL LETTER M	284	229	0
n	U+006E	LATIN SMALL LETTER N	374	313	0
o	U+006F	LATIN SMALL LETTER O	418	316	0
p	U+0070	LATIN SMALL LETTER P	185	148	0
q	U+0071	LATIN SMALL LETTER Q	3	3	0
r	U+0072	LATIN SMALL LETTER R	456	373	0
s	U+0073	LATIN SMALL LETTER S	69	66	0
t	U+0074	LATIN SMALL LETTER T	517	423	0
u	U+0075	LATIN SMALL LETTER U	295	231	0
w	U+0077	LATIN SMALL LETTER W	8	0	0
x	U+0078	LATIN SMALL LETTER X	147	147	0
ã	U+00E3	LATIN SMALL LETTER A WITH TILDE	10	4	0
æ	U+00E6	LATIN SMALL LETTER AE	8	6	0
õ	U+00F5	LATIN SMALL LETTER O WITH TILDE	1	0	0
ü	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS	1	1	0
ĩ	U+0129	LATIN SMALL LETTER I WITH TILDE	2	2	0
ŋ	U+014B	LATIN SMALL LETTER ENG	60	53	0
ũ	U+0169	LATIN SMALL LETTER U WITH TILDE	1	1	0
ɔ	U+0254	LATIN SMALL LETTER OPEN O	77	24	0
ɖ	U+0256	LATIN SMALL LETTER D WITH TAIL	12	9	0
ə	U+0259	LATIN SMALL LETTER SCHWA	24	24	0
ɛ	U+025B	LATIN SMALL LETTER OPEN E	558	517	0
ɪ	U+026A	LATIN LETTER SMALL CAPITAL I	11	9	0
ɳ	U+0273	LATIN SMALL LETTER N WITH RETROFLEX HOOK	1	1	0
ɹ	U+0279	LATIN SMALL LETTER TURNED R	1	0	0
ɽ	U+027D	LATIN SMALL LETTER R WITH TAIL	39	29	0
ɾ	U+027E	LATIN SMALL LETTER R WITH FISHHOOK	2	2	0
ʃ	U+0283	LATIN SMALL LETTER ESH	369	276	0
ʈ	U+0288	LATIN SMALL LETTER T WITH RETROFLEX HOOK	32	16	0
ʊ	U+028A	LATIN SMALL LETTER UPSILON	4	4	0
ʒ	U+0292	LATIN SMALL LETTER EZH	81	61	0
ʰ	U+02B0	MODIFIER LETTER SMALL H	235	155	0
ʼ	U+02BC	MODIFIER LETTER APOSTROPHE	1	1	0
ː	U+02D0	MODIFIER LETTER TRIANGULAR COLON	97	97	0
̃	U+0303	COMBINING TILDE	11	11	230
̯	U+032F	COMBINING INVERTED BREVE BELOW	58	49	220
͜	U+035C	COMBINING DOUBLE BREVE BELOW	72	60	233
ᵘ	U+1D58	MODIFIER LETTER SMALL U	2	2	0
ⁱ	U+2071	SUPERSCRIPT LATIN SMALL LETTER I	11	11	0
