Kurux,,məⁱjə,sky,,məⁱjə,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 1, site A Dima]",,,silkurux2011:i001:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,mɛrxa,sky,,mɛrxa,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 1, site C Boldipukur]",,,silkurux2011:i001:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,mɛrxa,sky,,mɛrxa,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 1, site D Lohanipara]",,,silkurux2011:i001:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,mɛrxa,sky,,mɛrxa,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 1, site E Dulhapur]",,,silkurux2011:i001:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,bɪr,sun,,bɪr,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 2, site A Dima]",,,silkurux2011:i002:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,biɽi,sun,,biɽi,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 2, site B Gabindanagar]",,,silkurux2011:i002:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,biɽi,sun,,biɽi,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 2, site C Boldipukur]",,,silkurux2011:i002:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,biɽi,sun,,biɽi,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 2, site D Lohanipara]",,,silkurux2011:i002:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,biɽi,sun,,biɽi,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 2, site E Dulhapur]",,,silkurux2011:i002:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,t͜ʃʰɛnd,moon,,t͜ʃʰɛnd,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 3, site A Dima]",,,silkurux2011:i003:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,t͜ʃʰɛnd,moon,,t͜ʃʰɛnd,lexical-similarity group 2,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 3, site A Dima]",,,silkurux2011:i003:A:2,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,t͜ʃando,moon,,t͜ʃando,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 3, site B Gabindanagar]",,,silkurux2011:i003:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,t͜ʃando,moon,,t͜ʃando,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 3, site C Boldipukur]",,,silkurux2011:i003:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,t͜ʃando,moon,,t͜ʃando,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 3, site D Lohanipara]",,,silkurux2011:i003:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,t͜ʃando,moon,,t͜ʃando,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 3, site E Dulhapur]",,,silkurux2011:i003:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,tɛrgɛn,star,,tɛrgɛn,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 4, site A Dima]",,,silkurux2011:i004:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,binko,star,,binko,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 4, site B Gabindanagar]",,,silkurux2011:i004:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,binko,star,,binko,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 4, site C Boldipukur]",,,silkurux2011:i004:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,binko,star,,binko,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 4, site D Lohanipara]",,,silkurux2011:i004:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,binko,star,,binko,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 4, site E Dulhapur]",,,silkurux2011:i004:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,bəbri,cloud,,bəbri,lexical-similarity group 3,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 5, site A Dima]",,,silkurux2011:i005:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,padali,cloud,,padali,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 5, site B Gabindanagar]",,,silkurux2011:i005:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,badali,cloud,,badali,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 5, site C Boldipukur]",,,silkurux2011:i005:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
Kurux,,badali,cloud,,badali,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 5, site D Lohanipara]",,,silkurux2011:i005:D:1,,,,dialect:Kurux:kurux2011-D-lohanipara:Lohanipara%20%28Lohanipara%2C%20Bangladesh%29
Kurux,,badali,cloud,,badali,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 5, site E Dulhapur]",,,silkurux2011:i005:E:1,,,,dialect:Kurux:kurux2011-E-dulhapur:Dulhapur%20%28Dulhapur%2C%20Bangladesh%29
Kurux,,t͜ʃɛb,rain,,t͜ʃɛb,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 6, site A Dima]",,,silkurux2011:i006:A:1,,,,dialect:Kurux:kurux2011-A-dima:Dima%20%28Dima%2C%20West%20Bengal%2C%20India%29
Kurux,,t͜ʃɛp,rain,,t͜ʃɛp,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 6, site B Gabindanagar]",,,silkurux2011:i006:B:1,,,,dialect:Kurux:kurux2011-B-gabindanagar:Gabindanagar%20%28Gabindanagar%2C%20Bangladesh%29
Kurux,,t͜ʃɛ̃p,rain,,t͜ʃɛ̃p,lexical-similarity group 1,"kim-ahmad-kim-sangma2011kurux[p. 38, wordlist item 6, site C Boldipukur]",,,silkurux2011:i006:C:1,,,,dialect:Kurux:kurux2011-C-boldipukur:Boldipukur%20%28Boldipukur%2C%20Bangladesh%29
