Item	Gloss	Noira_Site	Dhule_Site	Noira_PDF_Page	Dhule_PDF_Page	Noira_Manual_Transcription	Dhule_Manual_Transcription	Comparison	Disposition
1	body	NAS	AST	33	91	ɖiɭ	1 ɖil	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
1	body	BMU	MUN	33	91	ɖiɭ	1 ɖil	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
1	body	NTO	TOR	33	91	ɖiɭ	1 ɖiɭ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
2	head	NAS	AST	33	91	mundko	1, 2 munɖkʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
2	head	BMU	MUN	33	91	mundkʌ	1, 2 munɖkʌ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
2	head	NTO	TOR	33	91	maʈha	3 maʈha	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
3	hair	NAS	AST	33	91	siŋgje | sindʒe	2 sindʒe	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
3	hair	BMU	MUN	33	91	sindʒe	2 sindʒe	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
3	hair	NTO	TOR	33	91	kẽh	4 keh	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
4	face	NAS	AST	33	91	sob	2 sob	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
4	face	BMU	MUN	33	91	sob	2 sob	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
4	face	NTO	TOR	33	91	muj	1 mwi	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
5	eye	NAS	AST	33	91	doʔa | doʔa	2 ɖou	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
5	eye	BMU	MUN	33	91	doʔa | ɖou | doʔa	2 ɖou	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
5	eye	NTO	TOR	34	91	ɖoɭo	2, 3 ɖolo	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
6	ear	NAS	AST	34	92	kan	1 kaŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
6	ear	BMU	MUN	34	92	kaɳ	1 kaŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
6	ear	NTO	TOR	34	92	kaɭ	1 kaŋ	same-source-representation-differs	exclude Noira republication; retain primary ESR 2013-004 route
