Item	Gloss	Site_Code	Site_Name	PDF_Page	Printed_Page	Column	Manual_Transcription	Source_Cognate_Labels	Review_Status	Confidence	Uncertainty	Reviewer_Method	Reviewed_At	Reviewer_Declaration	Scope	Disposition	Citation	Installed_Count	Entry_Keys
1	body	NCH	Noiri-Chillare	33	27	left	ɖin	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list NCH]	1	noira2015:p033:i001:NCH:a1
1	body	NPN	Noiri-Pannali	33	27	left	ɖiɭ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list NPN]	1	noira2015:p033:i001:NPN:a1
1	body	NAS	Noiri-Astambha	33	27	left	ɖiɭ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list NAS]	0	
1	body	NGO	Noiri-Gomon	33	27	left	ɖin	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list NGO]	1	noira2015:p033:i001:NGO:a1
1	body	BMU	Barutiya-Mutalwad	33	27	left	ɖiɭ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list BMU]	0	
1	body	DBM	Dungra Bhili-Mathwad	33	27	left	ɖine	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list DBM]	1	noira2015:p033:i001:DBM:a1
1	body	DBA	Dungra Bhili-Ambadungar	33	27	left	ɖine	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list DBA]	1	noira2015:p033:i001:DBA:a1
1	body	NTO	Nahali-Toranmal	33	27	left	ɖiɭ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list NTO]	0	
1	body	KNA	Kotli-Narayanpur	33	27	left	ɖiɭ	2	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list KNA]	1	noira2015:p033:i001:KNA:a1
1	body	KTA	Kotli-Taradi	33	27	left	aŋg	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list KTA]	1	noira2015:p033:i001:KTA:a1
1	body	GTA	Gujari-Taradi	33	27	left	çʌrir	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list GTA]	1	noira2015:p033:i001:GTA:a1
1	body	GUJ	Gujarati	33	27	left	ʃərir	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list GUJ]	0	
1	body	MAR	Marati	33	27	left	sərir | ʌŋg	1 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list MAR]	0	
1	body	HIN	Hindi	33	27	left	ʃərir	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	comparison_control	control-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list HIN]	0	
1	body	NTE	Nahali-Tembhi	33	27	left	dʒju	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list NTE]	1	noira2015:p033:i001:NTE:a1
1	body	TKO	Tukaithad-Korku	33	27	left	dʒju	4	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list TKO]	1	noira2015:p033:i001:TKO:a1
1	body	NJA	Nihali-Jamod	33	27	left	pʌkor	5	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 1, list NJA]	1	noira2015:p033:i001:NJA:a1
2	head	NCH	Noiri-Chillare	33	27	left	mungo | mungo	2 | 3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list NCH]	2	noira2015:p033:i002:NCH:a1 | noira2015:p033:i002:NCH:a2
2	head	NPN	Noiri-Pannali	33	27	left	munɖ	1	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	new_target	staged	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list NPN]	1	noira2015:p033:i002:NPN:a1
2	head	NAS	Noiri-Astambha	33	27	left	mundko	3	attested	high		manual visual inspection of 400-dpi rendered PDF page	2026-08-28	hand-keyed-from-rendered-source; OCR-not-copied	republished_dhule	republished-dhule-excluded	varghesekumar2015noira[Appendix A3, printed p. 27, item 2, list NAS]	0	
