Grapheme	IPA	Staged_Input_Occurrences	Present_In_Staged_Targets
tʃ	c	114	yes
dʒ	j	219	yes
ɑ	ā	8	yes
ʌ	a	836	yes
ɔ	o	311	yes
ɖ	ḍ	549	yes
ə	ə	28	yes
ɛ	e	32	yes
ɦ	ɦ	22	yes
ɪ	i	10	yes
ɭ	ḷ	27	yes
ɲ	ñ	5	yes
ɳ	ṇ	83	yes
ɽ	ṛ	59	yes
ɾ	r	7	yes
ʃ	ś	6	yes
ʈ	ṭ	468	yes
ʊ	u	155	yes
ʒ	ž	2	yes
ʔ	ʔ	139	yes
ŋ	ŋ	79	yes
ã	ã	11	yes
ẽ	ẽ	27	yes
ĩ	ĩ	24	yes
õ	õ	6	yes
ũ	ũ	13	yes
ː	ː	10	yes
̪		81	yes
ç	ç	23	yes
û	û	2	yes
a	a	1385	yes
b	b	361	yes
c	c	2	yes
d	d	107	yes
e	e	618	yes
g	g	336	yes
h	h	565	yes
i	i	1063	yes
j	y	311	yes
k	k	630	yes
l	l	377	yes
m	m	385	yes
n	n	594	yes
o	o	773	yes
p	p	338	yes
r	r	474	yes
s	s	319	yes
t	t	162	yes
u	u	730	yes
v	v	180	yes
w	v	26	yes
z	z	11	yes
-	-	38	yes
 	#	90	yes
