Related_Source	Relation	Dhule_Site	Related_Site	Item	Gloss	Dhule_PDF_Page	Related_PDF_Pages	Dhule_Status	Dhule_Form	Related_Status	Related_Forms	Related_Entry_Keys	Comparison	Dhule_Disposition	Related_Disposition	Evidence
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	1	body	91	33	attested	1 ɖil	attested	ɖiɭ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	1	body	91	33	attested	1 ɖil	attested	ɖiɭ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	1	body	91	33	attested	1 ɖiɭ	attested	ɖiɭ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	2	head	91	33	attested	1, 2 munɖkʌ	attested	mundko		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	2	head	91	33	attested	1, 2 munɖkʌ	attested	mundkʌ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	2	head	91	33	attested	3 maʈha	attested	maʈha		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	3	hair	91	33	attested	2 sindʒe	attested	siŋgje | sindʒe		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	3	hair	91	33	attested	2 sindʒe	attested	sindʒe		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	3	hair	91	33	attested	4 keh	attested	kẽh		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	4	face	91	33	attested	2 sob	attested	sob		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	4	face	91	33	attested	2 sob	attested	sob		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	4	face	91	33	attested	1 mwi	attested	muj		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	5	eye	91	33	attested	2 ɖou	attested	doʔa | doʔa		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	5	eye	91	33	attested	2 ɖou	attested	doʔa | ɖou | doʔa		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	5	eye	91	34	attested	2, 3 ɖolo	attested	ɖoɭo		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	6	ear	92	34	attested	1 kaŋ	attested	kan		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	6	ear	92	34	attested	1 kaŋ	attested	kaɳ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	6	ear	92	34	attested	1 kaŋ	attested	kaɭ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	7	nose	92	34	attested	1 nakh	attested	nakh		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	7	nose	92	34	attested	1 nakh	attested	ɳak		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	7	nose	92	34	attested	1 nakh	attested	ɳakh		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	8	mouth	92	34	attested	2 sob	attested	sob		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	8	mouth	92	34	attested	2 sob	attested	sob		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	8	mouth	92	34	attested	1 mui	attested	mui		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	9	tooth	92	34	attested	1 ɖaʈh	attested	daʈh		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	9	tooth	92	34	attested	1 ɖaʈh	attested	ɖaʈ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	9	tooth	92	34	attested	1 ɖaʈ	attested	ɖaʈ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	10	tongue	92	34	attested	1 dʒib	attested	dʒib		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	10	tongue	92	34	attested	1 dʒib	attested	dʒib		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	10	tongue	92	34	attested	1 dʒib	attested	dʒib		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	11	breast	93	35	attested	1 budʒi	attested	buɖʒi		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	11	breast	93	35	attested	1 budʒi	attested	saʈi | buɖʒi		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	11	breast	93	35	blank		attested	saʈi | ɖai		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	12	belly	93	35	attested	2 pot̪u	attested	poʈu		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	12	belly	93	35	attested	2 pot̪u	attested	poʈu		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	12	belly	93	35	attested	4 potʌɭiu	attested	poʈʌɭiu		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	13	arm	93	35	attested	1 at̪h	attested	ath		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	13	arm	93	35	attested	1 at̪h	attested	ath		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	13	arm	93	35	attested	1 at̪h	attested	aʈh		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	14	elbow	93	35	attested	3 khumi	attested	khumi | khumi		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	14	elbow	93	35	attested	3 khumi	attested	khumi | khumi		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	14	elbow	93	35	attested	3 khuŋi	attested	khuɳi		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	15	palm	93	35	attested	2, 3 t̪holʌt̪	attested	ʈhoɭʌʈ		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	15	palm	93	35	attested	3 t̪holt̪u	attested	ʈhɔɭɔʈ | ʈhoɭʈu		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	15	palm	93	35	attested	5 t̪eɭsõ	attested	ʈeɭsõ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	16	finger	94	36	attested	2 aŋgu	attested	aiŋgi | aiŋgu		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	16	finger	94	36	attested	2 aŋgu	attested	aŋgu | ʌŋʈu		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	16	finger	94	36	attested	2 aŋguɭ	attested	aŋguɭ		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	AST	NAS	17	fingernail	94	36	attested	1 nokh	attested	nʌkh		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	MUN	BMU	17	fingernail	94	36	attested	1 nokh	attested	nokh		same-source-representation-differs	primary-target-install-candidate	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
varghesekumar2015noira	later-republication-of-dhule-list	TOR	NTO	17	fingernail	94	36	attested	1 nokh	attested	nekh		same-source-representation-differs	source-audit-only	exclude Noira republication; retain primary ESR 2013-004 route	Noira package's exhaustive 630-cell republication crosswalk; consulted only after Dhule freeze
