Item	Gloss	Excluded_From_Similarity	Raw_Lect_Code	Lect_Code	Site	District	Reliability	Raw_Form	Form	PDF_Page	Printed_Page	Column	Block	Source_Scope	Status	Review
1	body	No	MOS	MOS	Mosyari	Rawalpindi District	A	bʌdn	bʌdn	154	148	left	top	target	response	
1	body	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	bʌdʌn	bʌdʌn	154	148	left	top	target	response	
1	body	No	DEW	DEW	Dewal	Rawalpindi District	B	bʌdn	bʌdn	154	148	left	top	target	response	
1	body	No	AYU	AYU	Ayubia	Abbottabad District	A	bʌdʌn	bʌdʌn	154	148	left	top	target	response	
1	body	No	KOH	KOH	Kohala	Rawalpindi District	A	bʌdʌn	bʌdʌn	154	148	left	top	target	response	
1	body	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	bʌdʌn	bʌdʌn	154	148	left	top	target	response	
1	body	No	THA	THA	Thandiani	Abbottabad District	A	bʌdʌn	bʌdʌn	154	148	left	top	target	response	
1	body	No	LOR	LOR	Lora	Abbottabad District	A	bʌdʌn	bʌdʌn	154	148	left	top	target	response	
1	body	No	OSI	OSI	Osia	Rawalpindi District	A	bʌdʌn	bʌdʌn	154	148	left	top	target	response	
1	body	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	ǰɪsm	ǰɪsm	154	148	left	top	target	response	
1	body	No	DUN	DUN	Dunga Gali	Abbottabad District	A	ǰɪsm	ǰɪsm	154	148	left	top	target	response	
1	body	No	BHA	BHA	Bharakoh	Islamabad District	B	bʌdʌn	bʌdʌn	154	148	left	top	target	response	
1	body	No	ABB	ABB	Abbottabad	Abbottabad District	B	ǰɪsm	ǰɪsm	154	148	left	top	hindko_control	response	
1	body	No	MAN	MAN	Mansehra	Mansehra District	B	ǰɪsm	ǰɪsm	154	148	left	top	hindko_control	response	
1	body	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	ǰɪsʌm	ǰɪsʌm	154	148	left	top	target	response	
1	body	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	bʌdʌn	bʌdʌn	154	148	left	top	target	response	
2	head	No	MOS	MOS	Mosyari	Rawalpindi District	A	sʌr	sʌr	154	148	left	bottom	target	response	
2	head	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	sɪr	sɪr	154	148	left	bottom	target	response	
2	head	No	DEW	DEW	Dewal	Rawalpindi District	B	sʌr	sʌr	154	148	left	bottom	target	response	
2	head	No	AYU	AYU	Ayubia	Abbottabad District	A	sʌr	sʌr	154	148	left	bottom	target	response	
2	head	No	KOH	KOH	Kohala	Rawalpindi District	A	sir	sir	154	148	left	bottom	target	response	
2	head	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	sɛr	sɛr	154	148	left	bottom	target	response	
2	head	No	THA	THA	Thandiani	Abbottabad District	A	sɪr	sɪr	154	148	left	bottom	target	response	
2	head	No	LOR	LOR	Lora	Abbottabad District	A	sɪr	sɪr	154	148	left	bottom	target	response	
2	head	No	OSI	OSI	Osia	Rawalpindi District	A	sir	sir	154	148	left	bottom	target	response	
2	head	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	sir	sir	154	148	left	bottom	target	response	
2	head	No	DUN	DUN	Dunga Gali	Abbottabad District	A	sɪr	sɪr	154	148	left	bottom	target	response	
2	head	No	BHA	BHA	Bharakoh	Islamabad District	B	sɪr	sɪr	154	148	left	bottom	target	response	
2	head	No	ABB	ABB	Abbottabad	Abbottabad District	B	ser	ser	154	148	left	bottom	hindko_control	response	
2	head	No	MAN	MAN	Mansehra	Mansehra District	B	ser	ser	154	148	left	bottom	hindko_control	response	
2	head	No	MIR	MIR	Mirpur	Mirpur, Azad Kashmir	B	sir	sir	154	148	left	bottom	target	response	
2	head	No	GUJ	GUJ	Gujarkhan	Rawalpindi District	B	sir	sir	154	148	left	bottom	target	response	
3	hair	No	MOS	MOS	Mosyari	Rawalpindi District	A	bal	bal	154	148	right	top	target	response	
3	hair	No	GHO	GHO	Ghora Gali	Rawalpindi District	A	bal	bal	154	148	right	top	target	response	
3	hair	No	DEW	DEW	Dewal	Rawalpindi District	B	bal	bal	154	148	right	top	target	response	
3	hair	No	AYU	AYU	Ayubia	Abbottabad District	A	bal	bal	154	148	right	top	target	response	
3	hair	No	KOH	KOH	Kohala	Rawalpindi District	A	bal	bal	154	148	right	top	target	response	
3	hair	No	NIL	NIL	Nilabutt	Bagh, Azad Kashmir	B	bal	bal	154	148	right	top	target	response	
3	hair	No	THA	THA	Thandiani	Abbottabad District	A	bal	bal	154	148	right	top	target	response	
3	hair	No	LOR	LOR	Lora	Abbottabad District	A	bal	bal	154	148	right	top	target	response	
3	hair	No	OSI	OSI	Osia	Rawalpindi District	A	bal	bal	154	148	right	top	target	response	
3	hair	No	MUZ	MUZ	Muzaffarabad	Muzaffarabad District	B	bal	bal	154	148	right	top	target	response	
3	hair	No	DUN	DUN	Dunga Gali	Abbottabad District	A	bal	bal	154	148	right	top	target	response	
3	hair	No	BHA	BHA	Bharakoh	Islamabad District	B	bal	bal	154	148	right	top	target	response	
