Item	Gloss	Site_Key	Scope	PDF_Page	Printed_Page	Column	Source_Group_Labels	Manual_Transcription	Review_Status	Disposition	Reason	Language_ID	Dialect_ID	Source	Installed_Count	Entry_Keys	Confidence	Site_Assignment_Confidence	Uncertainty	Reviewer_Method	Reviewer_Declaration
1	body	BNM	target	31	26	left	1 / 2	ʃʌɾiɾ / batʌn	attested	installed		Buksa	Tharu-BNM	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, BNM]	2	webster2017westerntharu:item001:bnm:form1 | webster2017westerntharu:item001:bnm:form2	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	BNT	target	31	26	left	1 / 2	ʃʌɾaɾ / bʌdʌn	attested	installed		Buksa	Tharu-BNT	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, BNT]	2	webster2017westerntharu:item001:bnt:form1 | webster2017westerntharu:item001:bnt:form2	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	RNK	target	31	26	left	1	ʃʌɾiɾ	attested	installed		Rana	Tharu-RNK	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, RNK]	1	webster2017westerntharu:item001:rnk:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	RNS_Sisaikhara	target	31	26	left	1	ʃʌɾiɾ	attested	installed		Rana	Tharu-RNS-Sisaikhara	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, RNS occurrence 1]	1	webster2017westerntharu:item001:rns_sisaikhara:form1	high	medium	duplicate source code RNS; occurrence 1/2 assigned to metadata row 1/2 (Sisaikhara/Sisana)	manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	RNS_Sisana	target	31	26	left	1	ʃʌɾiɾ	attested	installed		Rana	Tharu-RNS-Sisana	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, RNS occurrence 2]	1	webster2017westerntharu:item001:rns_sisana:form1	high	medium	duplicate source code RNS; occurrence 1/2 assigned to metadata row 1/2 (Sisaikhara/Sisana)	manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	RKM	target	31	26	left	1	ʃʌɾiɾ	attested	installed		Rana	Tharu-RkM	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, RkM]	1	webster2017westerntharu:item001:rkm:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	RKB	target	31	26	left	1 / 3	ʃʌɾiɾ / deh	attested	installed		Rana	Tharu-RKB	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, RKB]	2	webster2017westerntharu:item001:rkb:form1 | webster2017westerntharu:item001:rkb:form2	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	TkN	target	31	26	left	1	ʃʌɾiɾ	attested	installed		Rana	Tharu-TkN	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, TkN]	1	webster2017westerntharu:item001:tkn:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	KkP	target	31	26	left	3	deh	attested	installed		Kathoriya	Tharu-KkP	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, KkP]	1	webster2017westerntharu:item001:kkp:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
1	body	SkP	target	31	26	left	1	ʃʌɾiɾ	attested	installed		Sunha	Tharu-SkP	webster[Appendix B, printed p. 26 (PDF p. 31), item 1, SkP]	1	webster2017westerntharu:item001:skp:form1	high	high		manual visual inspection of 400-dpi rendered PDF page; 900/1200-dpi crops used for every cell; PDF text/OCR/legacy not accepted	hand-keyed-from-rendered-source; PDF-text-OCR-legacy-not-copied
