CDIAL,Gloss,KS,RL,MH,TH,SH,RP,BH,BN
,like that,,,ɔmon,,"oj mɔt̪ɔn, oimɔn",ɔmon,"oj mɔt̪on, omun",
,like that,urʌŋ,"hurʌŋ, hunʌŋ","ʌnʌŋ, ʌnʌŋt̪i","oi rɔkom, ɔnoŋ",,,,
,like that,,,,,,ɔŋka,oi naxan,heŋka
88,8th month in the Hindu calendar,ʌgʱən,ʌgʱʌn,ʌgʱʌn,ɔgʱon,ɔɣʱɔn,agon,"agon, aɣon",aɣʱon
,that many,ʌd̪əla,ʌt̪la,"ʌt̪la, ʌt̪ɛla",ɔt̪o,ɔt̪ola,ɔt̪oʈa,ɔt̪ola,
722,"few, little",,,,ɔlɸo,ɔlɸo,"ɔlpo, ɔlpo-okna",,ɔlpɔ
,that many,,ʌt̪kina,,,,"oknʲæ, seknʲæ",,
,narrow (road),,ãʈʌ,aʈʌ,,aʈo,,aʈo,ato
941,eight,ãʈ,aʈʰ,ãʈ,"aʈ, ãʈ","aʈ, ãʈ",aʈ,aʈ,"aʈʰ, at"
,grape,əŋgur,ʌŋgur,ʌŋgur,"aŋgur, aŋgul","aŋur, aŋgur","aŋgur, aŋgul",aŋur,"aŋur, aŋul"
134,"finger, toe",aŋul,aŋgul,aŋgul,nuŋgul,neŋgul,nogul,"noŋul, aŋul, noɣul",aŋuli
65,"charcoal, coal",,,aŋʈʰa,,,,aŋʈa,
138,ring (on finger),aŋʈʰi,aŋʈʰi,aŋʈʰi,aŋʈʰi,"aŋʈʰi, aŋuʈ, aŋguʈ","aŋʈi, aŋguʈ","aŋʈi, aŋuʈi",aŋtʰi
,chilli,,,,,,akali,akali,
1008 (Ts.),"space, the sky, the heavens",akas,akas,akas,akaʃ,,akaʃ,,akas
68,"in front, ahead, further on",agu,"agat̪i, agut̪ɛ, agu bit̪i","agut̪, agut̪i","aɣot̪, aɣut̪","ago, agilʲa",agot̪,"ak-pax-ɔt̪, ag-ot̪","aɣɔte, aɣe"
118,courtyard,ɛŋna,ɛŋna,ɛŋna,ɛŋna,aɣina,agnʲæ,ainʲæ,
55,fire,agin,ʌgʱin,,agun,oɣun,agun,oɣun,
55 (Ts.),fire,,,ʌgni,,,,,
125,glowing charcoal,aŋra,ɛŋra,aŋra,aŋra,,aŋra,,aŋar
242,today,aʤ,"aʤi, aʤʱi",azi,aiʤ,azi,aiʣ,aʣi,azi
1338,flour,aʈa,aʈa,aʈa,aʈa,aʈa,aʈa,aʈa,
,"bullock, ox",,,,aria,,aɽiæ ʃar,,
1341,ginger,ad̪ʌ,ad̪ʌ,ad̪ʌ,ad̪a,ad̪ʱa,ad̪a,ad̪a,ada
1341 (Ts.),ginger,,,,,"ad̪rɔk, ad̪ɔrok",ad̪rok,,
644,half,ad̪ʱa,ad̪ʱa,ad̪ʱa,at̪ʰkʰan,at̪kʰan,"ad̪aʃer, ad̪ek","ad̪ʱa, ad̪a",adʱa
