item,pdf_page,printed_page,form,morphology,gloss,etymology,raw_entry
1,186,172,i,adj,this,,"#, adj. - this"
2,186,172,i,pro,"he, she, it",,"i, pro. - he, she, it"
3,186,172,idugo,"n., neut",mosque,,"idugo:, n., neut. - mosque"
4,186,172,iga:ri,"D., neut",a ceremony for removing poflution,,"iga:ri, D., neut. - a ceremony for removing poflution"
5,186,172,icili,"n., neut",middle,,"icili, n., neut. - middle"
6,186,172,iJalbiJal,adv,like this and that,,"iJalbiJal, adv. - like this and that"
7,186,172,isa:pt,part,like,,"isa:pt, part. - like"
8,186,172,isa:b,part,generally,,"isa:b, part. - generally"
9,186,172,istam,"n., neut",desire,(S. ista),"istam, n., neut. - desire (S. ista)"
10,186,172,im,adv,like this,,"im, adv. - like this"
11,186,172,immat,adv,in the same manner,(H. imi},"immat, adv. — in the same manner (H. imi}"
12,186,172,indacru,"n., neut",darkness,(C. andha:r »386),"indacru, n., neut. — darkness (C. andha:r »386)"
13,186,172,induko:r,"v., ne",swing,,"induko:r, v., ne., - swing"
14,186,172,ini:spetre,"n , mas., sg",inspector of police,(Eng.),"ini:spetre, n , mas., sg. - inspector of police (Eng.)"
15,186,172,ine,pro,him (acc.),(G. ine: he),"ine, pro. - him (acc.) (G. ine: he)"
16,186,172,inebi,part,if not,,"inebi, part. - if not"
17,186,172,inah,"n,, neut",thing,(cf. Jinah),"inah,n,, neut; - thing (cf. Jinah)"
18,186,172,inda,"n., peut",egg,(G. did. P1117),"inda:,n., peut. - egg (G. did. P1117)"
19,186,172,ilazci: n,neut,name of a tree,,"ilazci: n., neut. - name of a tree"
20,186,172,i:titi,adv,quickly (aetion},,"i:titi, adv. - quickly (aetion}"
21,186,172,i:dnu:s,"n-, neut",equal,(Ta. i:zu DED 375),"i:dnu:s, n-, neut. - equal (Ta. i:zu DED 375)"
22,186,172,i:yam,"D., newt. (Ta. izyam",lead) ful,,"i:yam, D., newt. (Ta. izyam - lead) ful"
23,186,172,upli,adj,above,(G. upilu adj.),"upli, adj. - above (G. upilu adj.)"
24,186,172,upar,ady,above,(G. M. upari 2333),"upar, ady. - above (G. M. upari 2333)"
25,187,173,ubala:y,"y.,¢",boil,(M. uba:da: »2340a),"ubala:y, y.,¢, - boil (M. uba:da: »2340a)"
26,187,173,uba:Sa,"n., neut",yawning,(H. uba: si:),"uba:Sa:, n., neut. — yawning (H. uba: si:)"
27,187,173,uba:Satkar,"v., nc",yawn,(H. uba:si:le:na),"uba:Satkar, v., nc., — yawn (H. uba:si:le:na)"
