Kam,n1,pâid′o bu-,be found; be born; be created,,,,strand
sanu,n2,pu,over; around (away from the speaker),,,,strand
nis,n2,pu,over; around (away from the speaker),,,,strand
ktivi,8419,p′ur,measure for buildings,,, [+; or < IA. < p′ura],strand
Kam,8419,p′ur,measure for buildings,,, [+; or < IA. < p′ura],strand
Kam,n3,pâč′aṭik,cotton seed,,,,strand
nis,n3,pačäṭik,bramble (gets caught in wool),,,,strand
Kam,n4,pâṭl′ik,large pancake,,,,strand
sanu,n4,pâṭul′ik,large pancake,,,,strand
nis,n4,paṭalig,large pancake,,,,strand
nis,n5,paṭâkei,musket,,,,strand
Kam,n6,p′iṭ,wooden part of bow,,,,strand
sanu,n6,paṭ′iː,wooden part of bow,,,,strand
Kam,n7,pâṭl′a,man's name,,, [+],strand
nis,n7,paṭila,,,,,strand
Kam,n8,p′uř gü,"black mineral substance found on cliffsides, used medicinally to “heat” internal organs [Psht. salâjit]",,," 
[+]",strand
Kam,n9,pṭ′ü_kâno,fir (Abies spectabilis),,,,strand
sanu,n9,pṭ′ua,fir (Abies spectabilis),,,,strand
nis,n9,paṛöv,fir (Abies spectabilis),,,,strand
ktivi,n10,pâṭ′a,porch,,, [+; ‘slab’ > ‘flat area’ > ‘flat area by house’?; whence â?],strand
Kam,n10,pâṭ′a,porch,,, [+; ‘slab’ > ‘flat area’ > ‘flat area by house’?; whence â?],strand
Kam,n11,pâṭ′i,"part, portion, area, piece (of something flat)",,, [+],strand
Kam,n11,pâṭk′ara,warped; cross-eyed,,, [+],strand
Kam,n11,pâṭ′i,sheet (of paper); letter; measure for hides,,, [+],strand
nis,n11,paṭara,warped; cross-eyed,,, [+],strand
Kam,n12,pâṭ′ü,turban [?],,, [+],strand
nis,n12,mu-paṛi,feast-giver's turban,,, [+],strand
sec,n13,iži-vot,eyebrow,,,,morgenstierne
ktivi,n13,âč′e pâṭol,eyelash,,,,strand
Kam,n13,âčp′uṭi,eyelash,,,,strand
sanu,n13,âći˜pâṭ′uak,eyelash,,,,strand
nis,n13,ače˜-poṭ,eyelash,,,,strand
sanu,n14,paṣ′a,sleeping platform in stable,,,,strand
nis,n14,paṣa,bed in stable,,,,strand
usut,n15,paṣk′i:,shaman,,,,buddruss
sec,n15,paṣk′i:,shaman,,,,morgenstierne
supu,n15,paṣk′i,shaman,,,,strand
ktivi,n15,pṣ′a,shaman; seer,,,,strand
Kam,n15,pṣ′a-,"teach someone to be well-bred, polite",,,,strand
Kam,n15,pṣ′a,shaman; seer,,,,strand
sanu,n15,paṣâːr′a,shaman; seer,,,,strand
Kam,7824,pârn′a-,spurn; reject [something] because it is no good,,, [+],strand
nis,7843,paren,sieve,,,,strand
Kam,7875,purv′â-,deny; lie,,, [+?],strand
Kam,7908,p′una,having milk left over from the previous year's pregnancy (cow),,, [+?],strand
ktivi,n16,p′eć,large ax,,, [whence e?],strand
Kam,n16,p′eć,large ax,,, [whence e?],strand
sanu,n17,poːs,large ax,,, [r̥ > o?],strand
Kam,n18,pârd′o,curtain; fret (on stringed instrument),,, [final o for a?],strand
ktivi,n19,pař′a,smallpox,,, [connection with OIA paṭ- ‘split’?],strand
Kam,n19,p′uř,smallpox,,, [connection with OIA paṭ- ‘split’?],strand
sanu,n19,paṛ′a,smallpox,,, [connection with OIA paṭ- ‘split’?],strand
nis,n19,paṛa,smallpox,,, [connection with OIA paṭ- ‘split’?],strand
Kam,n19,p′uř gâdo,after-effects of smallpox,,,,strand
nis,n19,paṛa-c̣o,pocmark,,,,strand
Kam,n20,pât′ia-,believe,,,,strand
nis,n20,pate-,believe,,,,strand
Kam,7730,p′iača-,sift,,,,strand
Kam,n21,p′iače˜,sieve,,,,strand
sanu,n21,piać′a˜,colander,,,,strand
sec,7748,vy′ele,tendon,,,,morgenstierne
ktivi,n22,pal′ei,summer cooperative goatherd,,,,strand
Kam,n22,pâl′ea,summer cooperative goatherd,,,,strand
nis,n22,pala·i,herding group,,,,strand
sanu,n23,pârâk-ie-,flash; be shiny,,,,strand
nis,n23,palakana,shiny,,,,strand
Kam,n24,pâl′it,unclean; immoral,,,,strand
nis,7981,pala-,wash (body),,,,strand
ktivi,n25,p′âtvo,puttee,,,,strand
Kam,n25,p′âatu,puttee,,,,strand
sanu,n25,pâitâv′a,puttee,,,,strand
ktivi,n26,pâ·′u,"down (away from the speaker, at an angle)",,,,strand
Kam,n26,p′âa,"down (away from the speaker, at an angle)",,,,strand
sanu,n26,pâu,"down (away from the speaker, at an angle)",,,,strand
nis,n26,pâ,"down (away from the speaker, at an angle)",,,,strand
Kam,n27,p′ok,clean,,,,strand
Kam,n28,po·kist′on,Pakistan,,,,strand
ktivi,n29,pc̣′an,war,,, [+],strand
Kam,n29,pâc̣′an,war,,, [+],strand
sanu,n29,pâc̣ân′a,war,,, [+],strand
nis,n29,pâc̣ana,hostility,,, [+],strand
Kam,n30,pâc̣′an vâňi,enemy,,,,strand
nis,n30,pac̣anavňe,enemy,,,,strand
sec,n31,iž′inik,thread,,,,morgenstierne
Kam,n31,pâč′e˜,cotton thread,,,,strand
Kam,8133,p′oš,trap,,,,strand
sanu,n32,pâl′a,apple,,, [+; - T. 9051 ph′ala- ‘fruit; grain’],strand
nis,n32,palâ,apple,,, [+; - T. 9051 ph′ala- ‘fruit; grain’],strand
gamb,n32,pal′â,apple,,, [+; - T. 9051 ph′ala- ‘fruit; grain’],morgenstierne
