TH,10475,åmon,like that,,,,toulmin
SH,10475,oy måtån,like that,,,,toulmin
SH,10475,oimån,like that,,,,toulmin
RP,10475,åmon,like that,,,,toulmin
BH,10475,oy måton,like that,,,,toulmin
BH,10475,omun,like that,,,,toulmin
RP,10881,åŋkā,like that,,,,toulmin
BN,10882,oi nāxān,like that,,,,toulmin
BN,10881,heŋkā,like that,,,,toulmin
KS,88,ʌgʰan,8th month in the Hindu calendar,,,,toulmin
RL,88,ʌgʰʌn,8th month in the Hindu calendar,,,,toulmin
MH,88,ʌgʰʌn,8th month in the Hindu calendar,,,,toulmin
TH,88,ågʰon,8th month in the Hindu calendar,,,,toulmin
SH,88,åɣʰon,8th month in the Hindu calendar,,,,toulmin
RP,88,āgon,8th month in the Hindu calendar,,,,toulmin
BH,88,āgon,8th month in the Hindu calendar,,,,toulmin
BH,88,āɣon,8th month in the Hindu calendar,,,,toulmin
BN,88,āɣʰon,8th month in the Hindu calendar,,,,toulmin
KS,941,ā̃ṭ,eight,,,,toulmin
RL,941,āṭʰ,eight,,,,toulmin
MH,941,ā̃ṭ,eight,,,,toulmin
TH,941,āṭ,eight,,,,toulmin
TH,941,ā̃ṭ,eight,,,,toulmin
SH,941,āṭ,eight,,,,toulmin
SH,941,ā̃ṭ,eight,,,,toulmin
RP,941,āṭ,eight,,,,toulmin
BH,941,āṭ,eight,,,,toulmin
BN,941,āṭʰ,eight,,,,toulmin
BN,941,āt,eight,,,,toulmin
KS,134,āŋul,"finger, toe",,,,toulmin
RL,134,āŋgul,"finger, toe",,,,toulmin
MH,134,āŋgul,"finger, toe",,,,toulmin
TH,134,nuŋul,"finger, toe",,,,toulmin
SH,134,neŋul,"finger, toe",,,,toulmin
RP,134,nogul,"finger, toe",,,,toulmin
BH,134,noŋul,"finger, toe",,,,toulmin
BN,134,āŋul,"finger, toe",,,,toulmin
BN,134,neɣul,"finger, toe",,,,toulmin
MH,65,āŋṭʰā,"charcoal, coal",,,,toulmin
BH,65,āŋṭā,"charcoal, coal",,,,toulmin
KS,138,āŋṭʰī,ring (on finger),,,,toulmin
RL,138,āŋṭʰī,ring (on finger),,,,toulmin
MH,138,āŋṭʰī,ring (on finger),,,,toulmin
TH,138,āŋṭʰī,ring (on finger),,,,toulmin
SH,138,āŋṭʰī,ring (on finger),,,,toulmin
SH,138,āŋuṭ,ring (on finger),,,,toulmin
SH,138,āŋguṭ,ring (on finger),,,,toulmin
RP,138,āŋṭī,ring (on finger),,,,toulmin
RP,138,āŋguṭ,ring (on finger),,,,toulmin
BH,138,āŋṭī,ring (on finger),,,,toulmin
BH,138,āŋuṭī,ring (on finger),,,,toulmin
BN,138,āŋṭʰī,ring (on finger),,,,toulmin
KS,68,āgu,"in front, ahead, further on",,,,toulmin
RL,68,āgāti,"in front, ahead, further on",,,,toulmin
RL,68,āgute,"in front, ahead, further on",,,,toulmin
RL,68,āgu biti,"in front, ahead, further on",,,,toulmin
MH,68,āgut,"in front, ahead, further on",,,,toulmin
MH,68,āguti,"in front, ahead, further on",,,,toulmin
TH,68,āɣot,"in front, ahead, further on",,,,toulmin
TH,68,āɣut,"in front, ahead, further on",,,,toulmin
SH,68,āgo,"in front, ahead, further on",,,,toulmin
SH,68,āgilʸā,"in front, ahead, further on",,,,toulmin
RP,68,āgot,"in front, ahead, further on",,,,toulmin
BH,68,ākpāxåt,"in front, ahead, further on",,,,toulmin
BH,68,āgot,"in front, ahead, further on",,,,toulmin
BN,68,āɣote,"in front, ahead, further on",,,,toulmin
BN,68,āɣe,"in front, ahead, further on",,,,toulmin
KS,118,ɛŋnā,courtyard,,,,toulmin
RL,118,ɛŋnā,courtyard,,,,toulmin
MH,118,ɛŋnā,courtyard,,,,toulmin
TH,118,ɛŋnā,courtyard,,,,toulmin
SH,118,āɣinā,courtyard,,,,toulmin
RP,118,āgnʸæ,courtyard,,,,toulmin
BH,118,āinʸæ,courtyard,,,,toulmin
KS,55,āgin,fire,,,,toulmin
RL,55,ʌgʰin,fire,,,,toulmin
TH,55,āgun,fire,,,,toulmin
SH,55,oɣun,fire,,,,toulmin
RP,55,āgun,fire,,,,toulmin
BH,55,oɣun,fire,,,,toulmin
KS,125,āŋrā,glowing charcoal,,,,toulmin
RL,125,ɛŋrā,glowing charcoal,,,,toulmin
MH,125,āŋrā,glowing charcoal,,,,toulmin
TH,125,āŋrā,glowing charcoal,,,,toulmin
RP,125,āŋrā,glowing charcoal,,,,toulmin
BN,125,āŋār,glowing charcoal,,,,toulmin
KS,242,āj,today,,,,toulmin
RL,242,āji,today,,,,toulmin
RL,242,ājʰi,today,,,,toulmin
MH,242,āzi,today,,,,toulmin
TH,242,āij,today,,,,toulmin
SH,242,āzi,today,,,,toulmin
RP,242,āiʣ,today,,,,toulmin
BH,242,āʣi,today,,,,toulmin
BN,242,āzi,today,,,,toulmin
KS,1338,āṭā,flour,,,,toulmin
RL,1338,āṭā,flour,,,,toulmin
MH,1338,āṭā,flour,,,,toulmin
TH,1338,āṭā,flour,,,,toulmin
SH,1338,āṭā,flour,,,,toulmin
RP,1338,āṭā,flour,,,,toulmin
BH,1338,āṭā,flour,,,,toulmin
TH,187,ārīā,bullock; ox,,,,toulmin
RP,187,āṛīæ śār,bullock; ox,,,,toulmin
KS,1341,āda,ginger,,,,toulmin
RL,1341,āda,ginger,,,,toulmin
MH,1341,āda,ginger,,,,toulmin
TH,1341,ādā,ginger,,,,toulmin
SH,1341,ādʰā,ginger,,,,toulmin
SH,1341,ādråk,ginger,,,Semi-tatsama,toulmin
SH,1341,ādårok,ginger,,,Semi-tatsama,toulmin
RP,1341,ādā,ginger,,,,toulmin
RP,1341,ādrok,ginger,,,,toulmin
BH,1341,ādā,ginger,,,,toulmin
BN,1341,ādā,ginger,,,,toulmin
