Rank,Template,Aliases,Uses,Etyma,Authors,Year,Title,Publisher,URL,Access
1,R:inc:IAIL,,270,266,"Lubotsky, Alexander",2011,The Indo-Aryan Inherited Lexicon (in progress),"Indo-European Etymological Dictionary Project, Leiden University",,Brill IEDO subscription; no open edition
2,R:inc:EWAia,R:EWAia R:ine:EWAia R:sa:EWAia,113,110,"Mayrhofer, Manfred",1986–2001,Etymologisches Wörterbuch des Altindoarischen,"Carl Winter, Heidelberg",,In copyright; scans on archive.org (lending)
3,R:ira:EDIV,R:ine:Cheung2007 R:ira:Cheung R:ira:Cheung:2007,79,76,"Cheung, Johnny",2007,Etymological Dictionary of the Iranian Verb,"Brill, Leiden/Boston",,In copyright; scan on archive.org
4,R:ine:HCHIEL,R:HCHIEL,49,48,"Klein, Jared; Joseph, Brian; Fritz, Matthias (eds.)",2017–2018,Handbook of Comparative and Historical Indo-European Linguistics,"De Gruyter Mouton, Berlin/Boston",,In copyright
5,R:CDIAL,R:Turner-comp,47,47,"Turner, Ralph Lilley",1962–1966,A Comparative Dictionary of the Indo-Aryan Languages,"Oxford University Press, London",https://dsal.uchicago.edu/dictionaries/soas/,Already the backbone of Jambu (source key CDIAL)
6,R:ira:ESIJa,,46,45,"Rastorgueva, V. S.; Edel'man, D. I.",2000–,Ėtimologičeskij slovar' iranskix jazykov,"Vostočnaja literatura, Moscow",,In copyright; volumes circulate as scans
7,R:ine:LIV,,40,40,"Rix, Helmut (ed.)",2001,"Lexikon der indogermanischen Verben, 2nd edn.","Reichert, Wiesbaden",,In copyright
8,R:ine:LIPP,,38,38,"Dunkel, George E.",2014,Lexikon der indogermanischen Partikeln und Pronominalstämme,"Universitätsverlag Winter, Heidelberg",https://archive.org/details/LIPP_2014,In copyright; scan on archive.org
9,R:iir:Lubotsky:1999,R:iir-pro:Lubotsky:1999 R:iir-pro:Substrate,29,28,"Lubotsky, Alexander",1999,The Indo-Iranian substratum,"in Carpelan, Parpola & Koskikallio (eds.), Early Contacts between Uralic and Indo-European, Helsinki 2001, 301–317",https://hdl.handle.net/1887/2691,Open access (Leiden repository)
10,R:ae:Brill,,22,22,Martínez García; de Vaan,2014,Introduction to Avestan,Brill,https://ia601502.us.archive.org/18/items/introduction-to-avestan/Introduction%20to%20Avestan.pdf,
11,R:ine:IEW,,14,14,"Pokorny, Julius",1959,Indogermanisches etymologisches Wörterbuch,"Francke, Bern/München",https://starlingdb.org/cgi-bin/response.cgi?basename=\data\ie\pokorny,In copyright; searchable index at starlingdb.org
12,R:ine:Mallory:2006,R:ine:Mallory 2006,14,13,Mallory,2006,The Oxford Introduction to Proto-Indo-European and the Proto-Indo-European World,Oxford University Press,,
13,R:iir:Lipp:2009,,13,12,"Lipp, Reiner",2009,Die indogermanischen und einzelsprachlichen Palatale im Indoiranischen,"Universitätsverlag Winter, Heidelberg",,In copyright
14,R:pal:Mackenzie:1971,R:pal:Mackenzie,13,13,MacKenzie,1971,A concise Pahlavi dictionary,Oxford University Press,,
15,R:ine:EIEC,,9,9,[[J. P. Mallory,1997,[[Encyclopedia of Indo-European Culture,Fitzroy Dearborn Publishers,,
16,R:kho:Bailey,,8,8,Bailey,1979,Dictionary of Khotan Saka,Cambridge University press,,
17,R:gem:EDPG,,7,7,Kroonen,2013,Etymological Dictionary of Proto-Germanic,{{w,https://archive.org/details/etymological-dictionary-of-proto-germanic,
18,R:ine:NIL,,7,7,Wodtko; Irslinger; Schneider,2008,Nomina im indogermanischen Lexikon,Universitätsverlag Winter,https://archive.org/details/NIL_2008,
19,R:os:Cheung:2002,,7,7,{{xlit,2009,{{xlit,{{xlit,,
20,R:sa:KEWA,,7,7,Mayrhofer,,Kurzgefasstes Etymologisches Wörterbuch des Altindischen,Carl Winter Universitätsverlag,https://archive.org/details/KurzgefasstesEtymologischesMayrhoferManfred/mode/2up,
21,R:iir:Kummel:2015,,6,6,Kümmel,2015,Suppletive Phenomena in Older Indo-Iranian Noun Inflection,,https://www.academia.edu/16535790/Suppletive_phenomena_in_older_Indo-Iranian_noun_inflection,
22,R:iir:Lubotsky:1988,,6,6,Lubotsky,1988,The System of Nominal Accentuation in Sanskrit and Proto-Indo-European,Brill,https://books.google.com/books/about/The_System_of_Nominal_Accentuation_in_Sa.html?id=6jBnmLnhXWwC,
23,R:inc:Goto:2013,,6,6,Goto,2013,Old Indo-Aryan Morphology and its Indo-Iranian Background,Austrian Academy of Sciences Press,https://verlag.oeaw.ac.at/Old-Indo-Aryan-Morphology-and-its-Indo-Iranian-Background,
24,R:os:Abaev,,6,6,"Abaev, V. I.",1958–1989,Istoriko-ėtimologičeskij slovar' osetinskogo jazyka,"Nauka, Moscow/Leningrad",,In copyright; scans circulate
25,R:grc:Beekes:2010,R:grc:Beekes R:grc:EDG,5,5,,,,,,
26,R:iir:Kummel:2017,,5,5,Kümmel,2017,Agricultural terms in Indo-Iranian,John Benjamins Publishing Company,https://library.oapen.org/bitstream/id/e3d61e07-01c4-46cc-988a-3c4dbfac32a7/9789027264640.pdf,
27,R:ira:Mayrhofer:1973,,5,5,Mayrhofer,1973,Onomastica Persepolitana: Das Altiranische Namengut der Persepolis-Täfelchen,Österreichische Akademie der Wissenschaften,,
28,R:itc:EDL,,5,5,De Vaan,2008,Etymological Dictionary of Latin and the other Italic Languages,Brill,,
29,R:xbc:Sims-Williams,,5,5,Sims-Williams,,Bactrian Documents from Northern Afghanistan,Nour Foundation in association with Azimuth Editions and Oxford University Press,,
30,R:Witzel:2003,,4,4,Witzel,2003,Linguistic Evidence for Cultural Exchange in Prehistoric Western Central Asia,"University of Pennsylvania, Department of East Asian Languages and Civilizations",http://www.sino-platonic.org/complete/spp129_prehistoric_central_asia_linguistics.pdf,
31,R:ae:deVaan:2003,,4,4,de Vaan,2003,The Avestan Vowels,Rodopi,,
32,R:hi:Misra,,4,4,Misra,1967,Historical Phonology of Modern Standard Hindi: Proto-Indo-European to the Present,{{w,,
33,R:ine:IELC,,4,4,Fortson,,Indo-European Language and Culture: An Introduction,Blackwell,,
34,R:ira:Novak:2013,R:ira:Novák:2013,4,4,Novák,2013,Problem of Archaism and Innovation in the Eastern Iranian Languages (PhD dissertation),"Univerzita Karlova v Praze, filozofická fakulta",https://www.academia.edu/4896441/Problem_of_Archaism_and_Innovation_in_the_Eastern_Iranian_Languages_dissertation_,
35,R:Iranica,,3,3,,{{{date,{{{title,,,
36,R:Joki:1973,R:Joki 1973,3,3,,,,,,
37,R:hit:Kloekhorst:2008,R:ine:Kloekhorst2008,3,3,Kloekhorst,2008,Etymological Dictionary of the Hittite Inherited Lexicon,Brill,,
38,R:iir-nur:NEL,,3,3,Strand,2016,,,http://nuristan.info/Nuristani/Nuristani/Nuristani/NuristaniLanguage/Lexicon/lex.html,
39,R:iir:Sandell,,3,3,Sandell,2014,Compensatory Lengthening in Vedic and the Outcomes of Proto-Indo-Iranian *[az] and *[až],,https://www.academia.edu/8971837/Compensatory_Lengthening_in_Vedic_and_the_Outcomes_of_Proto_Indo_Iranian_az_and_az_,
40,R:ira:Cantera:2017,,3,3,Cantera,2017,The phonology of Iranian,De Gruyter Mouton,,
41,R:ira:Hinz,,3,3,Hinz,1975,Altiranisches Sprachgut der Nebenüberlieferungen,Otto Harrassowitz,https://archive.org/details/AltiranischesSprachgutDerNebenberlieferungen,
42,R:sa:MW,R:MW,3,3,,,,At the [[Oxford University Press,,
43,R:sla:EDSIL,,3,3,,2008,Etymological Dictionary of the Slavic Inherited Lexicon,Brill,,
44,R:wbl:ESVJa,,3,3,{{xlit,1999,{{xlit,{{xlit,,
45,R:xcl:Olsen,,3,3,Olsen,1999,The noun in Biblical Armenian: origin and word-formation: with special emphasis on the Indo-European heritage,Mouton de Gruyter,,
46,R:Holopainen 2019,,2,2,Holopainen,2019,Indo-Iranian borrowings in Uralic: Critical overview of sound substitutions and distribution criterion,University of Helsinki (PhD),http://urn.fi/URN:ISBN:978-951-51-5729-4,
47,R:fa:Dehkhoda:1931,R:fa:Dehkhoda,2,2,,,,,,
48,R:fa:Horn:1893,R:fa:Horn,2,2,Horn,1893,Grundriss der neupersischen Etymologie,K.J. Trübner,,
49,R:iir:Clayton:2022,,2,2,Clayton,2022,Labiovelar loss and the rounding of syllabic liquids in Indo-Iranian,,https://brill.com/view/journals/ieul/10/1/article-p33_4.xml,
50,R:iir:Kummel:2000,,2,2,Kümmel,2000,Das Perfekt im Indoiranischen,Reichert,,
51,R:iir:Kummel:2014,,2,2,Kümmel,2014,The development of laryngeals in Indo-Iranian,,https://www.academia.edu/9352535/The_development_of_laryngeals_in_Indo-Iranian,
52,R:iir:Lubotsky:1997,,2,2,Lubotsky,1997,The Indo-Iranian reflexes of PIE *CRHUV,Brill,https://openaccess.leidenuniv.nl/bitstream/handle/1887/15940/Indo-Iranian+CRHUV.pdf,
53,R:inc:Kobayashi:2004,,2,2,Kobayashi,2004,Historical Phonology of Old Indo-Aryan Consonants,"Research Institute for Languages and Cultures of Asia and Africa, Tokyo University of Foreign Studies",https://web.archive.org/web/20160803155902/http://www.gengo.l.u-tokyo.ac.jp/~masatok/hpiac_2004.pdf,
54,R:ine:CIEL,R:ine:Beekes 2011,2,2,,,,,,
55,R:ine:Kroonen:2022,,2,2,Kroonen; Jakob; Palmér,,Indo-European cereal terminology suggests a Northwest Pontic homeland for the core Indo-European languages,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0275744,
56,R:ine:LIV2,R:ine:Kummel:2011,2,2,,,,,,
57,R:ine:Palmer:2021,,2,2,Palmér; Jakob; Thorsø,2021,Proto-Indo-European ‘fox’ and the reconstruction of an athematic ḱ-stem,,https://brill.com/view/journals/ieul/9/1/article-p234_8.xml,
58,R:ine:Palmer:2024,,2,2,Palmér,2024,Indo-Slavic lexical isoglosses and the prehistoric dispersal of Indo-Iranian,Leiden University,https://scholarlypublications.universiteitleiden.nl/handle/1887/3765823,
59,R:ira:AiW,R:ira:Bartholomae,2,2,Bartholomae,1904,Altiranisches Wörterbuch,K. J. Trübner,,
60,R:ira:CLI,,2,2,{{w,1989,Compendium Linguarum Iranicarum,Reichert Verlag,,
61,R:ira:IIFL,,2,2,Morgenstierne,,,Instituttet for Sammenlignende Kulturforskning; H. Aschehoug & Co. (W. Nygaard),,
62,R:ira:Kummel:2016,,2,2,Kümmel,2016,Einführung ins Ostmitteliranische,Friedrich-Schiller-Universität Jena,http://www.academia.edu/30130317/Einf%C3%BChrung_ins_Ostmitteliranische_Introduction_to_Eastern_Middle_Iranian_,
63,R:ira:Kummel:2017,,2,2,Kümmel,2017,Einführung ins Altiranische,Friedrich-Schiller-Universität Jena,https://www.academia.edu/30130367/Einf%C3%BChrung_ins_Altiranische_Introduction_to_Old_Iranian_,
64,R:ira:Tavernier,,2,2,Tavernier,2007,"Iranica in the Achaemenid Period (ca. 550–330 B.C.): Lexicon of Old Iranian Proper Names and Loanwords, Attested in Non-Iranian Texts",Peeters Publishers,,
65,R:ira:Windfuhr:2010,,2,2,Windfuhr,2010,The Iranian Languages,Routledge,,
66,R:pal:Rezai:2017,,2,2,Rezai Baghbidi,2017,Middle Persian Historical Phonology,Osaka University,,
67,R:peo:Skjærvo:2016,R:peo:Skjaervo,2,2,,,,,,
68,R:sog:Gharib,,2,2,Gharib,1995,Sogdian dictionary: Sogdian–Persian–English,Farhangan Publications,,
69,R:xcl:Martirosyan:2010,R:xcl:Martirosyan,2,2,,,,,,
70,R:xcl:Martirosyan:2013,,2,2,Martirosyan,2013,The place of Armenian in the Indo-European language family: the relationship with Greek and Indo-Iranian,,http://www.academia.edu/4197641/The_place_of_Armenian_in_the_Indo-European_language_family_the_relationship_with_Greek_and_Indo-Iranian,
71,R:ISotIE,,1,1,Mallory,1989,[http://books.google.com/books?id=wLeYkgEACAAJ In Search of the Indo-Europeans],Thames and Hudson,,
72,R:Rybatzki,,1,1,Rybatzki; Mackenzie,,Vocabularies from the middle of the 20th century from Afghanistan,Akadémiai Kiadó,,
73,R:Uralonet,,1,1,,,,,,
74,R:ae:Hashemi:2015,,1,1,,2015,Avestan Architecture: A Descriptive Etymological Lexicon,,,
75,R:akk:CAD,,1,1,,,The Assyrian Dictionary of the Oriental Institute of the University of Chicago (CAD),University of Chicago Oriental Institute,https://oi.uchicago.edu/research/publications/assyrian-dictionary-oriental-institute-university-chicago-cad,
76,R:bat:EDBIL,,1,1,Derksen,2015,Etymological Dictionary of the Baltic Inherited Lexicon,Brill,,
77,R:cau:NCED,,1,1,Nikolaev; Starostin,1994,A North Caucasian Etymological Dictionary,Asterisk Publishers,{{{url,
78,R:cel:Zair:2012,,1,1,Zair,2012,The reflexes of the Proto-Indo-European laryngeals in Celtic,Brill,,
79,R:dra:DED,,1,1,Burrow; Emeneau,1984,A Dravidian etymological dictionary,Oxford University Press,,
80,R:fa:Nourai,,1,1,Nourai,2011,"An Etymological Dictionary of Persian, English and other Indo-European Languages",,,
81,R:fa:Steingass,,1,1,Steingass,1892,A Comprehensive Persian–English dictionary,Routledge & K. Paul,,
82,R:gem:HGE,,1,1,,,,,,
83,R:gem:PIEPG,,1,1,Ringe,,From Proto-Indo-European to Proto-Germanic,University Press,https://ia601408.us.archive.org/16/items/don-ringe-2006-from-proto-indo-european-to-proto-germanic/DON_RINGE_2006_From_Proto-Indo-European_to_Proto-Germanic.pdf,
84,R:gem:Rasmussen:1990,,1,1,Rasmussen,1990,Historical Linguistics 1987: papers from the 8th International Conference on Historical Linguistics,John Benjamins Publishing Company,,
