source_index,id,parent_index,parent_id,level,language_id,form,gloss,comment,page
1,n1,,,0,Prs,paidâ kard-,find,,p
2,n2,,,0,PNur,pa-u,over; around (away from the speaker),,p
3,8419,,,0,OIA,paura-,belonging to a town,[T. 8419],p
4,n3,,,0,PNur,pačaṭik,bramble; entangled cotton seed,,p
5,n4,,,0,PNur,paṭalik,large pancake,,p
6,n5,,,0,Psht,paṭâk′ay,musket,,p
7,n6,,,0,PNur,paṭi,wooden part of bow,,p
8,n7,,,0,PNur,paṭila,,,p
9,n8,,,0,OIA,paṭu-,sharp; pungent,,p
10,n9,,,0,PNur,paṭuv,fir,,p
11,7699,,,0,OIA,paṭṭa-,slab; tablet,[T. 7699],p
12,7699,11,7699,1,PNur,paṭa,,,p
13,7699,11,7699,1,PNur,paṭa-,,,p
14,7699,11,7699,1,PNur,paṭa-,,,p
15,7699,11,7699,1,PNur,ače˜-paṭ,,,p
16,n10,,,0,PNur,paṣa,sleeping place in stable,,p
17,n11,,,0,PNur,paṣa,shaman,,p
18,7824,,,0,OIA,pari-ṇind-a-ti,blames greatly,[T. 7824],p
19,7843,,,0,OIA,pari-pava-na-,winnowing basket,[T. 7843],p
20,7875,,,0,OIA,pari-vâd-′a-,blame,[T. 7875],p
21,7908,,,0,OIA,parut-tn′a-,belonging to last year,[T. 7908],p
22,7949,,,0,PAr,parču-,axe,[T. 7949],p
23,7949,22,7949,1,PNur,peć,,,p
24,7949,22,7949,1,PNur,pr̥ć,,,p
25,n12,,,0,Prs,parda,curtain,,p
26,n13,,,0,PNur,paṛa,smallpox,,p
27,n14,,,0,PNur,pa-tia-,believe,,p
28,7730,,,0,OIA,pati-več-ya-,be sifted,[T. 7730],p
29,7730,28,7730,1,PNur,piače˜,,,p
30,7748,,,0,OIA,*pada-,tendon,[T. 7748],p
31,n15,,,0,PNur,palai,herder,,p
32,n16,,,0,PNur,palak-,flash,,p
33,n17,,,0,Prs,palid,unclean,,p
34,7981,,,0,OIA,*pavala-,cleaning,[T. 7981],p
35,n18,,,0,PNur,pâitâva,puttee,,p
36,n19,,,0,PNur,pâ-u,"down (away from the speaker, at an angle)",,p
37,n20,,,0,Prs,pâk,pure,,p
38,n21,,,0,Prs,pâkestân,Pakistan,,p
39,8026,,,0,OIA,pâkṣ-i-ka-,favoring a party,[T. 8026],p
40,8026,39,8026,1,PNur,pâc̣anna,,,p
41,8026,39,8026,1,PNur,"pac̣anna-
vani",,,p
42,n22,,,0,PNur,pâče˜,cotton thread,,p
43,8133,,,0,OIA,p′âša-,noose; snare,[T. 8133],p
44,8034,,,0,OIA,pâṭali-,kind of tree,[T. 8034],p
45,8034,44,8034,1,PNur,pâla,,,p
46,8034,44,8034,1,PNur,pâṛa,,,p
47,n23,,,0,PNur,pâṭâl,lammergeier vulture,,p
48,n24,,,0,PNur,pâṣâi,Pašaī,,p
49,n25,,,0,PNur,pâṣu˜ta,Uṣ′üt,,p
50,n26,,,0,PNur,pârik,shoulder blade,,p
51,n27,,,0,Psht,p′âta,remaining,,p
52,8061,,,0,OIA,pâd′a-pa-,tree; plant,[T. 8061],p
53,n28,,,0,PNur,pâdi,bushel,,p
54,n29,,,0,Prs,pâdšâh,king,,p
55,8082,,,0,OIA,pâ-n′i:ya-,water,[T. 8082],p
56,8047.1,,,0,OIA,p′ânḍa-ra-,pale,[T. 8047.1],p
57,8048,,,0,OIA,pânḍava-,Panḍava,[T. 8048],p
58,8048,57,8048,1,PNur,pâṇḍau,,,p
59,n30,,,0,PNur,pâ-pâ,sole (of foot),,p
60,n31,,,0,Prs,pâhirâ,sentry,,p
61,n32,,,0,PNur,piku,wall brace,,p
62,8217,,,0,PAr,pič-i-ta-,made ready; prepared meat,[T. 8217],p
63,8154,,,0,OIA,piččha-:-,scum of boiled rice,[T. 8154],p
64,8154,63,8154,1,PNur,pič,,,p
65,n33,,,0,PNur,piša˜,crop,,p
66,n34,,,0,PNur,pištikâk,dung,,p
67,n35,,,0,MIA,piṣṭa,ridge; mountain spur,,p
68,n36,,,0,Psht,pit′ay,Snyder rifle (?),,p
69,8181,,,0,OIA,pitt′a-,bile,[T. 8181],p
70,8181,69,8181,1,PNur,pit,,,p
71,n37,,,0,PNur,pis,fart (silent),,p
72,n38,,,0,PIE Root,pisdaɦ,vulva,"[Pok. 831  *pīzdâ-  PIE formula: *p-i-s-t̰-ɦ-
]",p
73,n39,72,n38,1,PIE Form,pis-d-ɦ-t′o-,,,p
74,n40,73,n39,2,PAr,pi:ḍ-i-ta-,pressed; fucked,,p
75,n41,74,n40,3,PNur,piṛi,,,p
76,n42,,,0,PNur,pil,shallow wooden bowl,,p
77,n43,,,0,Khowàr,pinga-,the day after,,p
78,8201,,,0,OIA,pipi:l′a-,ant,[T. 8201],p
79,8222,,,0,OIA,pi:ṭha-,stool; bench,[T. 8222],p
80,8227,,,0,OIA,pi:ḍ′â-,pain; damage,[T. 8227],p
81,n44,,,0,PNur,pe,across (in a horizontal plane),,p
82,n45,,,0,PIE Root,pei,fat; milk,"[Pok. 793  *pei̯-  PIE formula: *p-i-
]",p
83,n46,82,n45,1,PIE Form,pi-h-u-en-,,,p
84,n47,83,n46,2,PAr,p′i:-van-,well-nourished; fat,,p
85,n48,84,n47,3,PNur,püṇḍ,,,p
