Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,1,legacy:20220913-khetrani:row:1,khet,43,akʰ,eye,,,,elfenbein
ingested,,2,legacy:20220913-khetrani:row:2,khet,242,añjʸ,today,,,,elfenbein
ingested,,3,legacy:20220913-khetrani:row:3,khet,135,āŋgal,finger,,,,elfenbein
ingested,,4,legacy:20220913-khetrani:row:4,khet,2424,uṇṇ,wool,,,,elfenbein
ingested,,5,legacy:20220913-khetrani:row:5,khet,2387,uṭʰ,camel,,,,elfenbein
ingested,,6,legacy:20220913-khetrani:row:6,khet,9480,bāh,fire,,,,elfenbein
ingested,,7,legacy:20220913-khetrani:row:7,khet,9229,bā̃h,arm,,,,elfenbein
ingested,,8,legacy:20220913-khetrani:row:8,khet,9712,bejʸā,brain,,,,elfenbein
ingested,,9,legacy:20220913-khetrani:row:9,khet,9308,beṛī,boat,,,,elfenbein
ingested,,10,legacy:20220913-khetrani:row:10,khet,9268.7,boṭī,(piece of) meat,,,,elfenbein
ingested,,11,legacy:20220913-khetrani:row:11,khet,?,bik͡tyā̃,hair,,,,elfenbein
ingested,,12,legacy:20220913-khetrani:row:12,khet,9661,bʰā,brother,,,,elfenbein
ingested,,13,legacy:20220913-khetrani:row:13,khet,e31,bʰiɢaṛ,wolf,,,,elfenbein
ingested,,14,legacy:20220913-khetrani:row:14,S,e31,bagʰaṛu,wolf,,,,elfenbein
ingested,,15,legacy:20220913-khetrani:row:15,S,e31,bagʰyaṛu,wolf,,,,elfenbein
ingested,,16,legacy:20220913-khetrani:row:16,khet,6648,ɓa,two,,,,elfenbein
ingested,,17,legacy:20220913-khetrani:row:17,khet,6648,ɓā,two,,,,elfenbein
ingested,,18,legacy:20220913-khetrani:row:18,khet,9139,ɓadʰ,bind!,,,,elfenbein
ingested,,19,legacy:20220913-khetrani:row:19,khet,9321,ɓolī,speech,,,,elfenbein
ingested,,20,legacy:20220913-khetrani:row:20,khet,3197,cʸā,what?,,,,elfenbein
ingested,,21,legacy:20220913-khetrani:row:21,khet,4899,cʸūhā,mouse,,,,elfenbein
ingested,,22,legacy:20220913-khetrani:row:22,khet,4760,cʸar-,to graze,,,,elfenbein
ingested,,23,legacy:20220913-khetrani:row:23,khet,4804,cʸitrā,tiger,,,,elfenbein
ingested,,24,legacy:20220913-khetrani:row:24,khet,e18,cʰel,"loins, waist",,,,elfenbein
ingested,,25,legacy:20220913-khetrani:row:25,khet,6152,dant,tooth,,,,elfenbein
ingested,,26,legacy:20220913-khetrani:row:26,khet,6368,dirgʰā,long,,,,elfenbein
ingested,,27,legacy:20220913-khetrani:row:27,khet,6368,drigʰā,long,,,,elfenbein
ingested,,28,legacy:20220913-khetrani:row:28,khet,5065,ɗĩbʰu,"wasp, scorpion",,,,elfenbein
ingested,,29,legacy:20220913-khetrani:row:29,khet,6391,ɗug͡d,milk,,,,elfenbein
ingested,,30,legacy:20220913-khetrani:row:30,khet,6495,ɗūr,far,,,,elfenbein
ingested,,31,legacy:20220913-khetrani:row:31,khet,6605,dotrā,daughter's son,,,,elfenbein
ingested,,32,legacy:20220913-khetrani:row:32,khet,6333,ɗiv,day,,,,elfenbein
ingested,,33,legacy:20220913-khetrani:row:33,khet,6333,ɗ̣iv,day,,,,elfenbein
ingested,,34,legacy:20220913-khetrani:row:34,khet,6333,ɗ̣iũ,day (pl.),,,,elfenbein
ingested,,35,legacy:20220913-khetrani:row:35,khet,6141,ɗev-,give,,,,elfenbein
ingested,,36,legacy:20220913-khetrani:row:36,khet,6141,ɗe,give!,,,,elfenbein
ingested,,37,legacy:20220913-khetrani:row:37,khet,6141,ɗitā,I gave,,,,elfenbein
ingested,,38,legacy:20220913-khetrani:row:38,khet,5589,ɗ̣iɗ,belly,,,,elfenbein
ingested,,39,legacy:20220913-khetrani:row:39,khet,4471,gʰāh,a grass,,,,elfenbein
ingested,,40,legacy:20220913-khetrani:row:40,khet,3976,ɠaṛʰā,hail,,,,elfenbein
ingested,,41,legacy:20220913-khetrani:row:41,khet,4424,gʰaṇe,"much, many",,,,elfenbein
ingested,,42,legacy:20220913-khetrani:row:42,khet,4424,gʰāṇā,very,,,,elfenbein
ingested,,43,legacy:20220913-khetrani:row:43,khet,4272,g͡doɗā,knee,,,,elfenbein
ingested,,44,legacy:20220913-khetrani:row:44,khet,4068,ɠ͡ɗāḷ,"word, speech",,,,elfenbein
ingested,,45,legacy:20220913-khetrani:row:45,khet,4141.1,ɠoba,calf,,,,elfenbein
ingested,,46,legacy:20220913-khetrani:row:46,khet,2660,ɠ͡ɗaḍḍʰ,draw! pull!,,,,elfenbein
ingested,,47,legacy:20220913-khetrani:row:47,khet,4054,ɠaḍḍʰā,ass,,,,elfenbein
ingested,,48,legacy:20220913-khetrani:row:48,khet,4333,ɠohā,cow's dung,,,,elfenbein
ingested,,49,legacy:20220913-khetrani:row:49,khet,5172,gʸaha,hedgehog,,,,elfenbein
ingested,,50,legacy:20220913-khetrani:row:50,khet,?,ʛʸula,walked,,,,elfenbein
ingested,,51,legacy:20220913-khetrani:row:51,khet,?,ʛʸul,walk!,,,,elfenbein
ingested,,52,legacy:20220913-khetrani:row:52,khet,5198,ʛʸavātrā,son-in-law,,,,elfenbein
ingested,,53,legacy:20220913-khetrani:row:53,khet,10491,jula,yoke,,,,elfenbein
ingested,,54,legacy:20220913-khetrani:row:54,khet,10491,jʸula,yoke,,,,elfenbein
ingested,,55,legacy:20220913-khetrani:row:55,khet,10394,jʸāra,liver,,,,elfenbein
ingested,,56,legacy:20220913-khetrani:row:56,khet,4235,ɢiddʰī,bought,,,,elfenbein
ingested,,57,legacy:20220913-khetrani:row:57,khet,5228,ɢʸīb,tongue,,,,elfenbein
ingested,,58,legacy:20220913-khetrani:row:58,khet,?,ɢʸoṛ,lip,,,,elfenbein
ingested,,59,legacy:20220913-khetrani:row:59,khet,4236,ɢʰul,take!,,,,elfenbein
ingested,,60,legacy:20220913-khetrani:row:60,khet,?,he,this,,,,elfenbein
ingested,,61,legacy:20220913-khetrani:row:61,khet,?,ho,that,,,,elfenbein
ingested,,62,legacy:20220913-khetrani:row:62,khet,14000,haḷ,plough,,,,elfenbein
