Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,1,legacy:20220913-konkani:row:1,Ko,1371,āḷśɛ̃,lazy,,,,IndoLanguages
ingested,,2,legacy:20220913-konkani:row:2,Ko,2920,kaḷśɛ̃,"jug, vessel to carry water for prayer",,,,IndoLanguages
ingested,,3,legacy:20220913-konkani:row:3,Ko,2879,kāpśɛ̃bīya,cotton seeds,,,,IndoLanguages
ingested,,4,legacy:20220913-konkani:row:4,Ko,579,āmśɛ̃,sour,,,,IndoLanguages
ingested,,5,legacy:20220913-konkani:row:5,Ko,5839,tikśɛ̃,spicy,,,,IndoLanguages
ingested,,6,legacy:20220913-konkani:row:6,Ko,4344,gɔḍśɛ̃,sweet dish,,,,IndoLanguages
ingested,,7,legacy:20220913-konkani:row:7,Ko,10299,miṭśɛ̃,salty,,,,IndoLanguages
ingested,,8,legacy:20220913-konkani:row:8,Ko,10299,miḍśɛ̃,salty,,,,IndoLanguages
ingested,,9,legacy:20220913-konkani:row:9,Ko,1849,uśśɛ̃,pillow,,,,IndoLanguages
ingested,,10,legacy:20220913-konkani:row:10,Ko,12238,śɛ̃ṇª,cowdung,,,,IndoLanguages
ingested,,11,legacy:20220913-konkani:row:11,Ko,12245,śɛ̃vṇī,bird (sometimes specifically sparrow),,,,IndoLanguages
ingested,,12,legacy:20220913-konkani:row:12,Ko,12245,śɛ̃uṇī,bird (sometimes specifically sparrow),,,,IndoLanguages
ingested,,13,legacy:20220913-konkani:row:13,Ko,12284,śɛ̃mbari,hundred (full hundred),,,,IndoLanguages
ingested,,14,legacy:20220913-konkani:row:14,Ko,12284,śɛ̃mbōr,hundred (full hundred),,,,IndoLanguages
ingested,,15,legacy:20220913-konkani:row:15,Ko,6345,diśśɛ̃,instruction,,,,IndoLanguages
ingested,,16,legacy:20220913-konkani:row:16,Ko,12487,śɛ̃ḷɛ̃,"cold, lukewarm",,,,IndoLanguages
ingested,,17,legacy:20220913-konkani:row:17,Ko,12486,śĩyāḷɔ,winter,,,,IndoLanguages
ingested,,18,legacy:20220913-konkani:row:18,Ko,13411,śinduru,vermillion (red powder applied on religious occasion),,,,IndoLanguages
ingested,,19,legacy:20220913-konkani:row:19,Ko,13408,śijjaua'p,to boil,,,,IndoLanguages
ingested,,20,legacy:20220913-konkani:row:20,Ko,13435,śimɔ,boundary,,,,IndoLanguages
ingested,,21,legacy:20220913-konkani:row:21,Ko,13459,śigmɔ,summer festival (holi),,,,IndoLanguages
ingested,,22,legacy:20220913-konkani:row:22,Ko,5302,żoiśi,astrologer,,,,IndoLanguages
ingested,,23,legacy:20220913-konkani:row:23,Ko,12482,śisa,student,,,,IndoLanguages
ingested,,24,legacy:20220913-konkani:row:24,Ko,1611,aśi,like this,,,,IndoLanguages
ingested,,25,legacy:20220913-konkani:row:25,Ko,5760,taśi,like that,,,,IndoLanguages
ingested,,26,legacy:20220913-konkani:row:26,Ko,10458,żaśi,"just like, like something",,,,IndoLanguages
ingested,,27,legacy:20220913-konkani:row:27,Ko,3197,kaśi,how ? (fem.),,,,IndoLanguages
ingested,,28,legacy:20220913-konkani:row:28,Ko,14184,rāśi,a lot of useless things,,,,IndoLanguages
ingested,,29,legacy:20220913-konkani:row:29,Ko,10001,mavśi,mother's sister,,,,IndoLanguages
ingested,,30,legacy:20220913-konkani:row:30,Ko,10001,mauśi,mother's sister,,,,IndoLanguages
ingested,,31,legacy:20220913-konkani:row:31,Ko,9011,puśita,to wipe,,,,IndoLanguages
ingested,,32,legacy:20220913-konkani:row:32,Ko,139,aṅgśi,towel,,,,IndoLanguages
ingested,,33,legacy:20220913-konkani:row:33,Ko,139,aṅśi,towel,,,,IndoLanguages
ingested,,34,legacy:20220913-konkani:row:34,Ko,6316,dāśi,servant (fem.),,,,IndoLanguages
ingested,,35,legacy:20220913-konkani:row:35,Ko,2576,Kãśi,copper,,,,IndoLanguages
ingested,,36,legacy:20220913-konkani:row:36,Ko,8216,piśśi,mad,,,,IndoLanguages
ingested,,37,legacy:20220913-konkani:row:37,Ko,8108,pārśi,a parsee,,,,IndoLanguages
ingested,,38,legacy:20220913-konkani:row:38,Ko,10661,ra'śi,"pus,thick white liquid",,,,IndoLanguages
ingested,,39,legacy:20220913-konkani:row:39,Ko,1143,ārśi,mirror,,,,IndoLanguages
ingested,,40,legacy:20220913-konkani:row:40,Ko,3222,kuśilɛ̃,rotten,,,,IndoLanguages
ingested,,41,legacy:20220913-konkani:row:41,Ko,6555,dēśi,"native,",,,,IndoLanguages
ingested,,42,legacy:20220913-konkani:row:42,Ko,12430,śikhaïtā,"to teach, to teach a lesson",,,,IndoLanguages
ingested,,43,legacy:20220913-konkani:row:43,Ko,911,ãyśī̃,eighty,,,,IndoLanguages
ingested,,44,legacy:20220913-konkani:row:44,Ko,6699,bɛ̃yãyśī̃,eighty-two,,,,IndoLanguages
ingested,,45,legacy:20220913-konkani:row:45,Ko,7683,pãtsyãyśī̃,eighty-five,,,,IndoLanguages
ingested,,46,legacy:20220913-konkani:row:46,Ko,13160,satyãyśī̃,eighty-seven,,,,IndoLanguages
