Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,1,legacy:20220913-kundalshahi:row:1,Kund,1340,adr,wet,,,,kund
ingested,,2,legacy:20220913-kundalshahi:row:2,Kund,1268,am,mango,,,,kund
ingested,,3,legacy:20220913-kundalshahi:row:3,Kund,125,aŋgār,fire,,,,kund
ingested,,4,legacy:20220913-kundalshahi:row:4,Kund,43,aś,eye,,,,kund
ingested,,5,legacy:20220913-kundalshahi:row:5,Kund,1008,ay,cloud,,,Uncertain.,kund
ingested,,6,legacy:20220913-kundalshahi:row:6,Kund,1388,ālū̃,potato,,,Probably borrowed from plains.,kund
ingested,,7,legacy:20220913-kundalshahi:row:7,Kund,941,ā̃ṣṭ,eight,,,,kund
ingested,,8,legacy:20220913-kundalshahi:row:8,Kund,11175,bañj,handle,,,,kund
ingested,,9,legacy:20220913-kundalshahi:row:9,Kund,11503,baŋgā̃,eggplant,,,,kund
ingested,,10,legacy:20220913-kundalshahi:row:10,Kund,11348,baṭō,stone,,,,kund
ingested,,11,legacy:20220913-kundalshahi:row:11,Kund,6658,bay,twelve,,,,kund
ingested,,12,legacy:20220913-kundalshahi:row:12,Kund,9201,bājrā,barley,,,Probably borrowed from plains. Meaning is incongruent with cognates.,kund
ingested,,13,legacy:20220913-kundalshahi:row:13,Kund,11572,bāl,hair,,,,kund
ingested,,14,legacy:20220913-kundalshahi:row:14,Kund,13913,saz,sister,,,,kund
ingested,,15,legacy:20220913-kundalshahi:row:15,Kund,2757,bɛkʰin,elbow,,,,kund
ingested,,16,legacy:20220913-kundalshahi:row:16,Kund,11239,bicʰ,cow,,,,kund
ingested,,17,legacy:20220913-kundalshahi:row:17,Kund,11616,bī̌,twenty,,,,kund
ingested,,18,legacy:20220913-kundalshahi:row:18,Kund,9321,bol,speak!,,,,kund
ingested,,19,legacy:20220913-kundalshahi:row:19,Kund,9286,bōś,hunger,,,,kund
ingested,,20,legacy:20220913-kundalshahi:row:20,Kund,9568,buṭ,all,,,,kund
ingested,,21,legacy:20220913-kundalshahi:row:21,Kund,3153,cical,mud,,,,kund
ingested,,22,legacy:20220913-kundalshahi:row:22,Kund,4655,cōr,four,,,,kund
