Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,1,legacy:20220913-kvari:row:1,kvar,2900,kimli,ant,,kimli,see also 3438,jouanne
ingested,,2,legacy:20220913-kvari:row:2,kvar,2588,kɔ̄slɔ̃ḍɛ,armpit,,kɔ:slɔ̃ɖɛ,with some sort of extension,jouanne
ingested,,3,legacy:20220913-kvari:row:3,kvar,9289,buṛɔ,bad,,buɻᴐ,,jouanne
ingested,,4,legacy:20220913-kvari:row:4,kvar,2445,rīkʰ,bear,,ri:kʰ,,jouanne
ingested,,5,legacy:20220913-kvari:row:5,kvar,6250,daṛi,beard,,daɻi,,jouanne
ingested,,6,legacy:20220913-kvari:row:6,kvar,7964,pɔlɔ̃g,bed,,pɔlɔ͂g̥,,jouanne
ingested,,7,legacy:20220913-kvari:row:7,kvar,13503,sūr,beer,,su:r,,jouanne
ingested,,8,legacy:20220913-kvari:row:8,kvar,9153,bakʰra,billy goat,,bakʰra,,jouanne
ingested,,9,legacy:20220913-kvari:row:9,kvar,7637,pãkeru,bird,,pãkʰeru,,jouanne
ingested,,10,legacy:20220913-kvari:row:10,kvar,2641,kɔṛuɔ,bitter,,kɔɻuᴐ,,jouanne
ingested,,11,legacy:20220913-kvari:row:11,kvar,2771,kāmbēl,blanket,,ka:mbe:l,,jouanne
ingested,,12,legacy:20220913-kvari:row:12,kvar,13784,nas,blood vessel,,nəs,,jouanne
ingested,,13,legacy:20220913-kvari:row:13,kvar,10512,jū̃,body louse,,ʤu͂:,,jouanne
ingested,,14,legacy:20220913-kvari:row:14,kvar,13952,harkuṛi,bone,,harkuɻi,,jouanne
ingested,,15,legacy:20220913-kvari:row:15,kvar,6770,dāgōṭi,bracelet,,da:go:ʈi,with some sort of extension,jouanne
ingested,,16,legacy:20220913-kvari:row:16,kvar,12622,śāṭ̃ɔ,branch,,ʃa͂:ʈɔ,,jouanne
ingested,,17,legacy:20220913-kvari:row:17,kvar,12769,sā̀s,breath,,sà:s,,jouanne
ingested,,18,legacy:20220913-kvari:row:18,kvar,12629,śuīṇ,broom,,ʂui:ɳ,,jouanne
ingested,,19,legacy:20220913-kvari:row:19,kvar,9964,mɔĩśi,buffalo,,mɔi͂ʃi,,jouanne
ingested,,20,legacy:20220913-kvari:row:20,kvar,9176,bɔḷēd,bull,,bɔɭe:d,,jouanne
ingested,,21,legacy:20220913-kvari:row:21,kvar,8264,potūl,butterfly,,potu:l,,jouanne
ingested,,22,legacy:20220913-kvari:row:22,kvar,7685,pinjarɔ,cage,,piˑnʤərɔ,,jouanne
ingested,,23,legacy:20220913-kvari:row:23,kvar,11239,baʦuṭɔ,"calf, colt",,baʦʊˀʈɔ,,jouanne
ingested,,24,legacy:20220913-kvari:row:24,kvar,9354,bãg,cannabis,,bʰãg̥,,jouanne
ingested,,25,legacy:20220913-kvari:row:25,kvar,5481,ṭopɛṛa,cap,,ʈopɛɻa,,jouanne
ingested,,26,legacy:20220913-kvari:row:26,kvar,9237,birāṭi,cat,,bira:ʈi,,jouanne
ingested,,27,legacy:20220913-kvari:row:27,kvar,7984,pɔśu,cattle,,pɔʃu,,jouanne
ingested,,28,legacy:20220913-kvari:row:28,kvar,5014,ʦāti,chest,,ʦʰa:ti,,jouanne
ingested,,29,legacy:20220913-kvari:row:29,kvar,3208,kukṛuāṛ,chicken house,,kukɻua:ɻ,,jouanne
ingested,,30,legacy:20220913-kvari:row:30,kvar,9875,mɔʦɛ,chillies,,mɔˑʦɜ,,jouanne
ingested,,31,legacy:20220913-kvari:row:31,kvar,5137,ʣibṛi,chin,,ʣibɻi,?,jouanne
ingested,,32,legacy:20220913-kvari:row:32,kvar,10560,rāg̃,color,,rã:g,,jouanne
ingested,,33,legacy:20220913-kvari:row:33,kvar,2598,kāg̃i,comb,,kã:gi,,jouanne
ingested,,34,legacy:20220913-kvari:row:34,kvar,3504,kuṇɔ,corner,,kuɳɔ,,jouanne
ingested,,35,legacy:20220913-kvari:row:35,kvar,10798,rui,cotton,,ruiʲ,,jouanne
ingested,,36,legacy:20220913-kvari:row:36,kvar,4147,gai,cow,,gaiʲ,,jouanne
ingested,,37,legacy:20220913-kvari:row:37,kvar,4334,guśāḷ,cowshed,,guʃa:ɭ,,jouanne
ingested,,38,legacy:20220913-kvari:row:38,kvar,2993,kuā,crow,,kua:,,jouanne
ingested,,39,legacy:20220913-kvari:row:39,kvar,3483,koiɛl,cuckoo,,koiɛl,,jouanne
ingested,,40,legacy:20220913-kvari:row:40,kvar,386,inārɔ,dark,,ina:rᴐ,,jouanne
ingested,,41,legacy:20220913-kvari:row:41,kvar,12759,śāśu,daughter in law,,ʃa:ʃu,,jouanne
ingested,,42,legacy:20220913-kvari:row:42,kvar,3206,kukuṭɔ,dog,,kukuˀʈɔ,,jouanne
ingested,,43,legacy:20220913-kvari:row:43,kvar,6663,dār,door,,da:r,,jouanne
ingested,,44,legacy:20220913-kvari:row:44,kvar,11910,undi,down,,undi,14118?,jouanne
ingested,,45,legacy:20220913-kvari:row:45,kvar,2830,kɔnʣɔḷ,ear,,kɔnʣɔɭ,,jouanne
ingested,,46,legacy:20220913-kvari:row:46,kvar,10144,mũgṛi,earring in upper ear,,mu͂gɻi,,jouanne
ingested,,47,legacy:20220913-kvari:row:47,kvar,1111,ā̃ḍɔ,egg,,ã:ɖɔ,,jouanne
ingested,,48,legacy:20220913-kvari:row:48,kvar,2757,kūniaiṭi,elbow,,ku:niajʲʈi,,jouanne
ingested,,49,legacy:20220913-kvari:row:49,kvar,9954,mɔ̄g̃ɔ,expensive,,mɔ̃:gɔ,,jouanne
ingested,,50,legacy:20220913-kvari:row:50,kvar,10158,mūkʰ,face,,mu:kʰ,,jouanne
ingested,,51,legacy:20220913-kvari:row:51,kvar,7627,pākʰɔ,feather,,pa:kʰɔ,,jouanne
ingested,,52,legacy:20220913-kvari:row:52,kvar,8030,paṛɔ,female genital organ,,paɻɔ,,jouanne
ingested,,53,legacy:20220913-kvari:row:53,kvar,3130,kɔṭvaṛɔ,fence,,kɔʈwaɻɔ,,jouanne
ingested,,54,legacy:20220913-kvari:row:54,kvar,6914,nɔg,fingernail,,nɔˑg,,jouanne
ingested,,55,legacy:20220913-kvari:row:55,kvar,5298,jɔgɔn,firefly,,ʤɔgɔn,,jouanne
ingested,,56,legacy:20220913-kvari:row:56,kvar,9758,māʦi,fish,,ma:ʦi,,jouanne
ingested,,57,legacy:20220913-kvari:row:57,kvar,7655,pāʦ,five,,pã:ʦ,,jouanne
ingested,,58,legacy:20220913-kvari:row:58,kvar,9029,piśu,flea,,piʃu,,jouanne
ingested,,59,legacy:20220913-kvari:row:59,kvar,9982,mɔsaɔ̃,"flesh, meat",,mɔsaɔ̃,,jouanne
ingested,,60,legacy:20220913-kvari:row:60,kvar,9092,pʰūl,flower,,pʰfu:l,,jouanne
ingested,,61,legacy:20220913-kvari:row:61,kvar,9696,mākʰi,fly,,ma:kʰ i,,jouanne
ingested,,62,legacy:20220913-kvari:row:62,kvar,10837,rōṭ,food,,ro:ʈ,,jouanne
ingested,,63,legacy:20220913-kvari:row:63,kvar,2744,kɔpāḷ,forehead,,kɔpa:ɭ,,jouanne
ingested,,64,legacy:20220913-kvari:row:64,kvar,4655,ʦār,four,,ʦa:r,,jouanne
ingested,,65,legacy:20220913-kvari:row:65,kvar,12578,śiāl,fox,,ʃia:l,,jouanne
ingested,,66,legacy:20220913-kvari:row:66,kvar,9746,manu,frog,,maˑnu,,jouanne
ingested,,67,legacy:20220913-kvari:row:67,kvar,9051,pʰɔḷ,fruit,,pʰfɔɭ,,jouanne
