Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,1,legacy:20220913-zadjali:row:1,Zadj,992,āh,I,,aːh,,zadjali
ingested,,2,legacy:20220913-zadjali:row:2,Zadj,5889,tū,you,,tu,,zadjali
ingested,,3,legacy:20220913-zadjali:row:3,Zadj,986,asī,we,,asi,,zadjali
ingested,,4,legacy:20220913-zadjali:row:4,Zadj,4424,gahta,many,,gahta,,zadjali
ingested,,5,legacy:20220913-zadjali:row:5,Zadj,2462,hukṛɔh,one,,hʊkɽɔh,,zadjali
ingested,,6,legacy:20220913-zadjali:row:6,Zadj,6648,bāh,two,,baːh,,zadjali
ingested,,7,legacy:20220913-zadjali:row:7,Zadj,11225,vaɗɔ,big,,waɗɔ,,zadjali
ingested,,8,legacy:20220913-zadjali:row:8,Zadj,6368,dɛgɔ̄h,long,,dɛgɔːh,,zadjali
ingested,,9,legacy:20220913-zadjali:row:9,Zadj,6935,nadkɔ̄h,small,,nadkɔːh,,zadjali
ingested,,10,legacy:20220913-zadjali:row:10,Zadj,9828,mahanūh,person,,mahanuh,,zadjali
ingested,,11,legacy:20220913-zadjali:row:11,Zadj,9758,macī,fish,,matʃi,,zadjali
ingested,,12,legacy:20220913-zadjali:row:12,Zadj,3275,kɔtɔ̄h,dog,,kɔtɔːh,,zadjali
ingested,,13,legacy:20220913-zadjali:row:13,Zadj,11258,van,tree,,wan,,zadjali
ingested,,14,legacy:20220913-zadjali:row:14,Zadj,10539,raṭ,blood,,raʈ,,zadjali
ingested,,15,legacy:20220913-zadjali:row:15,Zadj,13952,haɗɔ,bone,,haɗɔ,,zadjali
ingested,,16,legacy:20220913-zadjali:row:16,Zadj,1111,ānū,egg,,aːnu,,zadjali
ingested,,17,legacy:20220913-zadjali:row:17,Zadj,6419,dɔm,tail,,dɔm,,zadjali
ingested,,18,legacy:20220913-zadjali:row:18,Zadj,11572,vār,hair,,waːr,,zadjali
ingested,,19,legacy:20220913-zadjali:row:19,Zadj,9926,matɔ̄,head,,matɔː,,zadjali
ingested,,20,legacy:20220913-zadjali:row:20,Zadj,2830,kan,ear,,kan,,zadjali
ingested,,21,legacy:20220913-zadjali:row:21,Zadj,43,akah,eye,,akah,,zadjali
ingested,,22,legacy:20220913-zadjali:row:22,Zadj,6909,nak,nose,,nak,,zadjali
ingested,,23,legacy:20220913-zadjali:row:23,Zadj,12196,vāt,mouth,,waːt,,zadjali
ingested,,24,legacy:20220913-zadjali:row:24,Zadj,6152,dand,tooth,,dand,,zadjali
ingested,,25,legacy:20220913-zadjali:row:25,Zadj,6914,nū,fingernail,,nu,,zadjali
ingested,,26,legacy:20220913-zadjali:row:26,Zadj,7756,pērɔ,foot,,perɔ,,zadjali
ingested,,27,legacy:20220913-zadjali:row:27,Zadj,14024,hat,hand,,hat,,zadjali
ingested,,28,legacy:20220913-zadjali:row:28,Zadj,8376,pēd,belly,,ped,,zadjali
ingested,,29,legacy:20220913-zadjali:row:29,Zadj,2680,kand,neck,,kand,,zadjali
ingested,,30,legacy:20220913-zadjali:row:30,Zadj,14150,hīkī,chest,,hiki,,zadjali
ingested,,31,legacy:20220913-zadjali:row:31,Zadj,14152,hē,heart,,he,,zadjali
ingested,,32,legacy:20220913-zadjali:row:32,Zadj,8209,bjēsu,to drink,,bjesʊ,,zadjali
ingested,,33,legacy:20220913-zadjali:row:33,Zadj,3865,kaisu,to eat,,kaɪsʊ,,zadjali
ingested,,34,legacy:20220913-zadjali:row:34,Zadj,6152,dandalēsu,to bite,,dandalesʊ,,zadjali
ingested,,35,legacy:20220913-zadjali:row:35,Zadj,7228,naharēsū,to see,,naharesʊ,,zadjali
ingested,,36,legacy:20220913-zadjali:row:36,Zadj,9281,bɔndēsu,to hear,,bɔndesʊ,,zadjali
ingested,,37,legacy:20220913-zadjali:row:37,Zadj,13905,summēsu,"to sleep, lie down",,sʊmmesʊ,,zadjali
ingested,,38,legacy:20220913-zadjali:row:38,Zadj,9871,marēsu,to die,,maresʊ,,zadjali
ingested,,39,legacy:20220913-zadjali:row:39,Zadj,10066,mārēsu,to kill,,maːresʊ,,zadjali
ingested,,40,legacy:20220913-zadjali:row:40,Zadj,227,atēsu,to come,,atesʊ,,zadjali
ingested,,41,legacy:20220913-zadjali:row:41,Zadj,2245,bɛhēsu,to sit,,bɛhesʊ,,zadjali
ingested,,42,legacy:20220913-zadjali:row:42,Zadj,2426,pɛyēsu,to stand,,pɛjesʊ,,zadjali
ingested,,43,legacy:20220913-zadjali:row:43,Zadj,6140,dēsu,to give,,desʊ,,zadjali
ingested,,44,legacy:20220913-zadjali:row:44,Zadj,4724,tɔēsu,to say,,tɔesʊ,?,zadjali
ingested,,45,legacy:20220913-zadjali:row:45,Zadj,13574,sēzza,sun,,sezza,,zadjali
ingested,,46,legacy:20220913-zadjali:row:46,Zadj,4661,cān,moon,,tʃaːn,,zadjali
ingested,,47,legacy:20220913-zadjali:row:47,Zadj,5798,tārɔ,star,,taːrɔ,,zadjali
ingested,,48,legacy:20220913-zadjali:row:48,Zadj,8082,pānī,water,,paːni,,zadjali
ingested,,49,legacy:20220913-zadjali:row:49,Zadj,10302,mī,rain,,mi,,zadjali
ingested,,50,legacy:20220913-zadjali:row:50,Zadj,10247,mudkɔ,stone,,mʊdkɔ,?,zadjali
ingested,,51,legacy:20220913-zadjali:row:51,Zadj,10816,rēka,sand,,reka,?,zadjali
ingested,,52,legacy:20220913-zadjali:row:52,Zadj,6849,tɔh,smoke,,tɔh,,zadjali
ingested,,53,legacy:20220913-zadjali:row:53,Zadj,5312,dērɔ,fire,,derɔ,? fortition,zadjali
ingested,,54,legacy:20220913-zadjali:row:54,Zadj,3674,sār,ash,,saːr,,zadjali
ingested,,55,legacy:20220913-zadjali:row:55,Zadj,6671,bāṛēsu,to burn,,baːɽesʊ,,zadjali
ingested,,56,legacy:20220913-zadjali:row:56,Zadj,4118,gahaṛɔ,red,,gahaɽɔ,,zadjali
ingested,,57,legacy:20220913-zadjali:row:57,Zadj,8233,pīṛɔ,yellow,,piɽɔ,,zadjali
ingested,,58,legacy:20220913-zadjali:row:58,Zadj,6767,dahūṛɔ,white,,dahuɽɔ,,zadjali
ingested,,59,legacy:20220913-zadjali:row:59,Zadj,3083,kārɔ,black,,kaːrɔ,,zadjali
