Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,1,legacy:20230524-sindhic:row:1,maimani,12583,sīŋ,(animal) horn,,sɪŋ,,maimani
ingested,,2,legacy:20230524-sindhic:row:2,luwati,12583,sīŋ,(animal) horn,,sɪŋ,,maimani
ingested,,3,legacy:20230524-sindhic:row:3,maimani,13276,sabbīh,all,,sabbih,,maimani
ingested,,4,legacy:20230524-sindhic:row:4,luwati,13276,sībbī,all,,sɪbbi,,maimani
ingested,,5,legacy:20230524-sindhic:row:5,maimani,,ramādīh,ash,,rama:dih,,maimani
ingested,,6,legacy:20230524-sindhic:row:6,luwati,,pūlyār,ash,,pʊlja:r,,maimani
ingested,,7,legacy:20230524-sindhic:row:7,maimani,,kantūh,bark (of a tree),,kantuh,,maimani
ingested,,8,legacy:20230524-sindhic:row:8,luwati,,nes,bark (of a tree),,nes,,maimani
ingested,,9,legacy:20230524-sindhic:row:9,maimani,8376,beṭʰ,belly,,beʈʰ,,maimani
ingested,,10,legacy:20230524-sindhic:row:10,luwati,8376,beṭʰ,belly,,beʈʰ,,maimani
ingested,,11,legacy:20230524-sindhic:row:11,maimani,11225,vaɗūh,big,,waɗuh,,maimani
ingested,,12,legacy:20230524-sindhic:row:12,luwati,11225,vaɗū,big,,waɗu,,maimani
ingested,,13,legacy:20230524-sindhic:row:13,maimani,,jīlkʰrī,bird,,dʒɪlkʰri,,maimani
ingested,,14,legacy:20230524-sindhic:row:14,luwati,,jīlkʰrī,bird,,dʒɪlkʰri,,maimani
ingested,,15,legacy:20230524-sindhic:row:15,maimani,,śakūjītūh,bite,,ʃʰakudʒituh,,maimani
ingested,,16,legacy:20230524-sindhic:row:16,luwati,,cʰaktūvījɛ,bite,,tʃʰaktʊvɪdʒɛ,,maimani
ingested,,17,legacy:20230524-sindhic:row:17,maimani,3083,kārūh,black,,ka:ruh,,maimani
ingested,,18,legacy:20230524-sindhic:row:18,luwati,3083,kārū,black,,ka:ru,,maimani
ingested,,19,legacy:20230524-sindhic:row:19,maimani,10539,rat,blood,,rat̪,,maimani
ingested,,20,legacy:20230524-sindhic:row:20,luwati,10539,rat,blood,,rat̪,,maimani
ingested,,21,legacy:20230524-sindhic:row:21,maimani,13952,haɗūh,bone,,haɗuh,,maimani
